kag_master_name,kag_master_artist,kag_master_genre,kag_master_daneceability,kag_master_energy,kag_master_key,kag_master_loudness,kag_master_mode,kag_master_speechiness,kag_master_acousticness,kag_master_instrumentalness,kag_master_liveness,kag_master_valence,kag_master_tempo,kag_master_pop,kag_master_spotify_id,kag_master_release_date,kag_master_year
It's My Life,No Doubt,"rock, pop",0.612,0.735,8.0,-5.074,0.0,0.0282,0.00202,0.00118,0.328,0.783,126.326,1,44u52jALuPgpczTbZuRWHM,2024-04-26,2024
Back To December,Taylor Swift,pop,0.529,0.67,2.0,-4.663,1.0,0.0303,0.117,0.0,0.334,0.286,141.893,1,79uDOz0zuuWS7HWxzMmTa2,2023-07-07,2023
Impossible,James Arthur,pop,0.376,0.695,0.0,-4.782,0.0,0.0933,0.135,0.0,0.11,0.302,169.533,1,5yVIlYEHZxQVLyInCdldoS,2013-11-04,2013
I Knew You Were Trouble.,Taylor Swift,pop,0.622,0.469,3.0,-6.798,0.0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,1,6FB3v4YcR57y4tXFcdxI1E,2012-10-22,2012
As Long As You Love Me,Justin Bieber,pop,0.571,0.873,0.0,-3.382,0.0,0.1,0.0811,0.0,0.361,0.613,139.691,1,75lo8VozcCLRG9WGG674iD,2012-01-01,2012
What Makes You Beautiful,One Direction,pop,0.726,0.787,4.0,-2.494,1.0,0.0737,0.009,0.0,0.0596,0.888,124.99,1,4cluDES4hQEUhmXj6TXkSo,2012-05-25,2012
Ride,Lana Del Rey,pop,0.373,0.686,0.0,-5.52,1.0,0.034,0.128,1.96e-06,0.383,0.189,93.763,1,0ZyfiFudK9Si2n2G9RkiWj,2012-01-01,2012
Locked out of Heaven,Bruno Mars,pop,0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994,1,3w3y8KPTfNeOKPiqUTakBh,2012-12-07,2012
Beauty And A Beat,Justin Bieber,pop,0.602,0.843,0.0,-4.831,1.0,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,1,6QFCMUUq1T2Vf5sFUXcuQ7,2012-01-01,2012
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,pop,0.572,0.81,1.0,-5.791,0.0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,1,6PUIzlqotEmPuBfjbwYWOB,2013-02-01,2013
