spt_id,cv_fold,is_bb,p_audio
1XxRYmDKuABtbtCozx3pA2,1,0,0.5
4QeXQ6EfI0rCsZEoDS7NtF,0,0,0.5254237055778503
2zfbxpGbjwck72JXOdBonZ,1,0,0.28260868787765503
7qzTaf38OEZCANIgYAz1sM,0,0,0.20000000298023224
70eFcWOvlMObDhURTqT4Fv,0,1,0.6530612111091614
1Qrg8KqiBpW07V7PNxwwwL,0,1,0.30434781312942505
16Ah4QqH4mgYVXqfC4mdSd,0,1,0.6530612111091614
2XHzzp1j4IfTNp1FTn7YFg,4,1,0.6744186282157898
2UVbBKQOdFAekPTRsnkzcf,3,1,0.43939393758773804
1qA9TnEJ2sUub9QkN9K3Mv,4,0,0.6153846383094788
1lnPwGXiXnYwUp0Nd6izON,4,0,0.6744186282157898
48ANRZNlUoBElQztu4hv3I,0,0,0.6530612111091614
0fgZUSa7D7aVvv3GfO0A1n,1,1,0.8275862336158752
0dt4CRRsWhEsgkgYNWMsh5,4,0,0.3499999940395355
1Iq8oo9XkmmvCQiGOfORiz,4,1,0.5277777910232544
5G9EDMCULzocrXh59ziW2s,1,0,0.11764705926179886
22vgEDb5hykfaTwLuskFGD,3,1,0.8333333134651184
0SKbj3NTkGFS76OkFmAw0u,2,0,0.1818181872367859
0kDUotOdrONmWJGPMyYFh1,2,0,0.0
5ujS2PWCJsJaMdM7E5AYS1,3,0,0.43939393758773804
6Up545NUflOiXo8cEraH49,0,1,0.5254237055778503
2xLOMHjkOK8nzxJ4r6yOKR,1,1,0.8275862336158752
20ba46kBOIncnWcrUAPyYI,2,0,0.0
4RYA2iXLysm9tB5RgzFVze,1,0,0.28260868787765503
3rosTvZ4MAbOAzNbbEp6Ha,4,0,0.6904761791229248
4pkb8SbRGeHAvdb87v9rpf,2,1,0.1818181872367859
5Es5pG548uc04wSlpBKlUN,3,0,0.43939393758773804
1kPpge9JDLpcj15qgrPbYX,1,1,0.5
48GBbQiTSlXX5i0cn3iIiJ,0,0,0.8333333134651184
7BHEi0cFs6TVNFDvbBrAjz,2,0,0.6571428775787354
5BdrLgr97sT2gq0oI5fd1c,3,0,0.38461539149284363
39C3SOi6UMD9rHeXAQPNa9,0,0,0.6315789222717285
12eMQUn2GzfsfsQLH53M19,1,1,0.7323943376541138
6HZ9VeI5IRFCNQLXhpF4bq,0,1,0.5254237055778503
3PntTOqdd3qb6bojI3CVaN,3,0,0.0
2Z8WuEywRWYTKe1NybPQEW,3,1,0.7450980544090271
2BT16kSveTFhwmsdqjWxjm,4,0,0.20000000298023224
6RRNNciQGZEXnqk8SQ9yv5,4,1,0.6904761791229248
48RrDBpOSSl1aLVCalGl5C,4,1,0.6904761791229248
2TZ9kaTiLewawHZK7yylSC,0,0,0.5254237055778503
7uzmGiiJyRfuViKKK3lVmR,1,1,0.28260868787765503
32OlwWuMpZ6b0aN2RZOeMS,2,1,0.7777777910232544
0OWZFobGSIW9GrSlQ9C5pc,1,1,0.28260868787765503
5HJquCkq9Ixq0O8y0dAiIW,0,0,0.20000000298023224
5dVeOUI43XmZ8Pg0CPifW4,4,0,0.3499999940395355
1Ist6PR2BZR3n2z2Y5R6S1,4,1,0.6000000238418579
6ZV9wdnLyCWTra8vnVvz09,3,0,0.43939393758773804
73f2uSzP92RYlXzITudNzv,0,0,0.30434781312942505
5G2f63n7IPVPPjfNIGih7Q,1,1,0.11764705926179886
1mKXFLRA179hdOWQBwUk9e,3,1,0.8333333134651184
0w1uGsI3cjP7xSX97XrvQo,3,0,0.43939393758773804
6FxC6j3SQlVsnokxxhAxXN,0,0,0.6315789222717285
5OUSPcqhYTOzpbXzoEvKim,4,1,0.5277777910232544
3xVZYkcuWalGudeKl861wb,4,1,0.3499999940395355
7zVCrzzEJU7u24sbJPXA5W,4,1,0.5277777910232544
3sYBFUXTv0STUoUINx9Qe8,1,1,0.8275862336158752
5zFglKYiknIxks8geR8rcL,3,1,0.7450980544090271
1dekgAFF9uTCqLsklDaCWb,3,0,0.0
0BCy325UZyR9z0t0uxwn2N,0,1,0.5254237055778503
7rL602DQps4QmrrjbinLzP,0,0,0.25
3sf3UltkA8AYsYOgpSYP5l,2,0,0.7777777910232544
0l0CvurVUrr2w3Jj1hOVFc,0,1,0.6315789222717285
5Zb6THrh1D6xUXkrrCYan4,2,0,0.4375
5DBjfRTOu395Fr5o7RTA0H,2,0,0.1818181872367859
61waVybdmiALy94UNU5M6s,0,0,0.6530612111091614
2tpfxAXiI52znho4WE3XFA,1,1,0.7323943376541138
6Nc5QI0ODERfwrJDZECoe7,4,0,0.6744186282157898
6fxVffaTuwjgEk5h9QyRjy,0,1,0.5254237055778503
2TuKKkNajalhwhGPzAqH9m,3,0,0.43939393758773804
2ihCaVdNZmnHZWt0fvAM7B,4,1,0.6000000238418579
4sqK3chS8d96laonwg2xVq,1,0,0.28260868787765503
0HFoJSIbneK6QWLnPJjML2,2,0,0.1818181872367859
27tNWlhdAryQY04Gb2ZhUI,1,1,0.7323943376541138
5NQbUaeTEOGdD6hHcre0dZ,2,1,0.4166666567325592
1IA65F2uYuqeaEVx0Hjjfe,2,0,0.09090909361839294
7uokjCoYFxSdgcq53GNWhJ,3,0,0.43939393758773804
6609cCUb8ayZkTUvkJ03Rm,0,0,0.5254237055778503
6g6A7qNhTfUgOSH7ROOxTD,4,1,0.6744186282157898
2EEeOnHehOozLq4aS0n6SL,1,1,0.7323943376541138
0tgVpDi06FyKpA1z0VMD4v,0,1,0.6315789222717285
15C4TnrrVdym7UykxQIOTZ,4,1,0.6904761791229248
5mHdCZtVyb4DcJw8799hZp,2,1,0.5
7hZtfayYQukFySbj746HJL,3,0,0.43939393758773804
4FlTbvKgYXQQoZcuPMhhyp,2,0,0.4375
5YqEzk3C5c3UZ1D5fJUlXA,3,1,0.625
5VSgSktetufsSWNfoscbvq,1,0,0.0
04HywTwgGtbATUROKD5Ata,4,0,0.5277777910232544
62aP9fBQKYKxi7PDXwcUAS,4,1,0.5277777910232544
1j5uMKcBWSaJHFLRCCpCKQ,4,0,0.3499999940395355
56orvDKaaL0lWllCuTqMED,4,0,0.6000000238418579
6dyMer5WZ2hpIKNbb9fa1T,2,0,0.6571428775787354
2T0dh7hiBM73mEFwUGSqMQ,0,0,0.6530612111091614
1gihuPhrLraKYrJMAEONyc,0,1,0.5254237055778503
2zt7BAfxMaQmuDYebTfqtb,1,0,0.28260868787765503
7KokYm8cMIXCsGVmUvKtqf,4,1,0.6000000238418579
5MEYDJVJMaGAXfddTo0D6J,0,1,0.6530612111091614
6YUTL4dYpB9xZO5qExPf05,0,1,0.5
6V1bu6o1Yo5ZXnsCJU8Ovk,3,1,0.8333333134651184
1YlOZY3puELE0PgxD1enZo,1,0,0.7323943376541138
1Rw3HZkVVR0MjEVIH8hgLo,0,0,0.6530612111091614
41Fflg7qHiVOD6dEPvsCzO,0,1,0.8333333134651184
18s2VXUFA8RmEPFtkgRJJK,2,0,0.0
315lUcWQbGT0IH21ukBWlh,3,0,0.0
2xsAm4w9P3kSF1DophKAiF,3,1,0.43939393758773804
13yWzrXrEtiAvQzo0ZgHYA,1,0,0.11764705926179886
