,billboard_year,rank,name,artist,featuring,target
0,2012,1,Somebody That I Used to Know,Gotye,Kimbra,1
1,2012,2,Call Me Maybe,Carly Rae Jepsen,,1
2,2012,3,We Are Young,Fun,Janelle Monáe,1
3,2012,4,Payphone,Maroon 5,Wiz Khalifa,1
4,2012,5,Lights,Ellie Goulding,,1
5,2012,6,Glad You Came,The Wanted,,1
6,2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson,,1
7,2012,8,We Found Love,Rihanna,Calvin Harris,1
8,2012,9,Starships,Nicki Minaj,,1
9,2012,10,What Makes You Beautiful,One Direction,,1
10,2012,11,Wild Ones,Flo Rida,Sia,1
11,2012,12,Set Fire to the Rain,Adele,,1
12,2012,13,Sexy and I Know It,LMFAO,,1
13,2012,14,Some Nights,Fun,,1
14,2012,15,Wide Awake,Katy Perry,,1
15,2012,16,Good Feeling,Flo Rida,,1
16,2012,17,Whistle,Flo Rida,,1
17,2012,18,One More Night,Maroon 5,,1
18,2012,19,Drive By,Train,,1
19,2012,20,The Motto,Drake,Lil Wayne,1
20,2012,21,Where Have You Been,Rihanna,,1
21,2012,22,Everybody Talks,Neon Trees,,1
22,2012,23,Take Care,Drake,Rihanna,1
23,2012,24,Titanium,David Guetta,Sia,1
24,2012,25,I Won't Give Up,Jason Mraz,,1
25,2012,26,It Will Rain,Bruno Mars,,1
26,2012,27,Mercy,Kanye West,,1
27,2012,28,Boyfriend,Justin Bieber,,1
28,2012,29,Party Rock Anthem,LMFAO,Lauren Bennett,1
29,2012,30,Too Close,Alex Clare,,1
30,2012,31,Part of Me,Katy Perry,,1
31,2012,32,"Young, Wild & Free",Snoop Dogg,Wiz Khalifa,1
32,2012,33,We Are Never Ever Getting Back Together,Taylor Swift,,1
33,2012,34,As Long as You Love Me,Justin Bieber,Big Sean,1
34,2012,35,Turn Me On,David Guetta,Nicki Minaj,1
35,2012,36,Moves like Jagger,Maroon 5,Christina Aguilera,1
36,2012,37,Blow Me (One Last Kiss),Pink,,1
37,2012,38,Good Time,Owl City,,1
38,2012,39,Give Your Heart a Break,Demi Lovato,,1
39,2012,40,Niggas in Paris,Jay-Z,,1
40,2012,41,The One That Got Away,Katy Perry,,1
41,2012,42,Feel So Close,Calvin Harris,,1
42,2012,43,Someone like You,Adele,,1
43,2012,44,Scream,Usher,,1
44,2012,45,Rack City,Tyga,,1
45,2012,46,Domino,Jessie J,,1
46,2012,47,Gangnam Style,Psy,,1
47,2012,48,International Love,Pitbull,Chris Brown,1
48,2012,49,Home,Phillip Phillips,,1
49,2012,50,Without You,David Guetta,Usher,1
50,2012,51,Ass Back Home,Gym Class Heroes,Neon Hitch,1
51,2012,52,Wanted,Hunter Hayes,,1
52,2012,53,Drunk on You,Luke Bryan,,1
53,2012,54,No Lie,2 Chainz,Drake,1
54,2012,55,Want U Back,Cher Lloyd,,1
55,2012,56,Don't Wake Me Up,Chris Brown,,1
56,2012,57,Dance (A$$),Big Sean,Nicki Minaj,1
57,2012,58,Springsteen,Eric Church,,1
58,2012,59,Brokenhearted,Karmin,,1
59,2012,60,Not Over You,Gavin DeGraw,,1
60,2012,61,Stereo Hearts,Gym Class Heroes,Adam Levine,1
61,2012,62,Back in Time,Pitbull,,1
62,2012,63,Work Out,J. Cole,,1
63,2012,64,Rumour Has It,Adele,,1
64,2012,65,Let's Go,Calvin Harris,Ne-Yo,1
65,2012,66,Good Girl,Carrie Underwood,,1
66,2012,67,Pontoon,Little Big Town,,1
67,2012,68,Ho Hey,The Lumineers,,1
68,2012,69,Paradise,Coldplay,,1
69,2012,70,Blown Away,Carrie Underwood,,1
70,2012,71,Rolling in the Deep,Adele,,1
71,2012,72,Climax,Usher,,1
72,2012,73,"Work Hard, Play Hard",Wiz Khalifa,,1
73,2012,74,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,,1
74,2012,75,Pound the Alarm,Nicki Minaj,,1
75,2012,76,Come Over,Kenny Chesney,,1
76,2012,77,Heart Attack,Trey Songz,,1
77,2012,78,Drank in My Cup,Kirko Bangz,,1
78,2012,79,Birthday Cake,Rihanna,Chris Brown,1
79,2012,80,So Good,B.o.B,,1
80,2012,81,50 Ways to Say Goodbye,Train,,1
81,2012,82,Red Solo Cup,Toby Keith,,1
82,2012,83,Love You Like a Love Song,Selena Gomez & the Scene,,1
83,2012,84,Turn Up the Music,Chris Brown,,1
84,2012,85,Die Young,Kesha,,1
85,2012,86,5 O'Clock,T-Pain,Wiz Khalifa,1
86,2012,87,A Thousand Years,Christina Perri,,1
87,2012,88,Take a Little Ride,Jason Aldean,,1
88,2012,89,You da One,Rihanna,,1
89,2012,90,We Run the Night,Havana Brown,Pitbull,1
90,2012,91,It's Time,Imagine Dragons,,1
91,2012,92,Cashin' Out,Cash Out,,1
92,2012,93,I Don't Want This Night to End,Luke Bryan,,1
93,2012,94,Diamonds,Rihanna,,1
94,2012,95,Hard to Love,Lee Brice,,1
95,2012,96,Somethin' 'Bout a Truck,Kip Moore,,1
96,2012,97,Adorn,Miguel,,1
97,2012,98,Fly Over States,Jason Aldean,,1
98,2012,99,Even If It Breaks Your Heart,Eli Young Band,,1
99,2012,100,Burn It Down,Linkin Park,,1
100,2013,1,Thrift Shop,Macklemore & Ryan Lewis,Wanz,1
101,2013,2,Blurred Lines,Robin Thicke,T.I.,1
102,2013,3,Radioactive,Imagine Dragons,,1
103,2013,4,Harlem Shake,Baauer,,1
104,2013,5,Can't Hold Us,Macklemore & Ryan Lewis,Ray Dalton,1
105,2013,6,Mirrors,Justin Timberlake,,1
106,2013,7,Just Give Me a Reason,Pink,Nate Ruess,1
107,2013,8,When I Was Your Man,Bruno Mars,,1
108,2013,9,Cruise,Florida Georgia Line,Nelly,1
109,2013,10,Roar,Katy Perry,,1
110,2013,11,Locked Out of Heaven,Bruno Mars,,1
111,2013,12,Ho Hey,The Lumineers,,1
112,2013,13,Stay,Rihanna,Mikky Ekko,1
113,2013,14,Get Lucky,Daft Punk,Pharrell Williams,1
114,2013,15,Royals,Lorde,,1
115,2013,16,I Knew You Were Trouble,Taylor Swift,,1
116,2013,17,We Can't Stop,Miley Cyrus,,1
117,2013,18,Wrecking Ball,Miley Cyrus,,1
118,2013,19,Wake Me Up,Avicii,,1
119,2013,20,Suit & Tie,Justin Timberlake,Jay-Z,1
120,2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,,1
121,2013,22,Holy Grail,Jay-Z,Justin Timberlake,1
122,2013,23,Scream & Shout,will.i.am,Britney Spears,1
