spt_id,is_pop,length (total sec),tempo,loudness,scale,key (num),camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,name_lower,artist_lower,release_year,billboard_year,is_bb,lyric,detected_lang,confidence_level,is_english,is_char_english,Remark Flag
3TGRqZ0a2l1LRblBkJoaDx,1,193,120,-7,Major,7,9B,66,78,58,1,0,11,4,call me maybe,carly rae jepsen,2012,2012,1,"i threw a wish in the well
dont ask me ill never tell
i looked to you as it fell
and now youre in my way
i trade my soul for a wish
pennies and dimes for a kiss
i wasnt lookin for this
but now youre in my way
your stare was holdin
ripped jeans skin was showin
hot night wind was blowin
where you think youre goin baby
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
and all the other boys try to chase me
but heres my number so call me maybe
you took your time with the call
i took no time with the fall
you gave me nothin at all
but still youre in my way
i beg and borrow and steal
at first sight and its real
i didnt know i would feel it
but its in my way
your stare was holdin
ripped jeans skin was showin
hot night wind was blowin
where you think youre goin baby
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
and all the other boys try to chase me
but heres my number so call me maybe
before you came into my life i missed you so bad
i missed you so bad i missed you so so bad
before you came into my life i missed you so bad
and you should know that i missed you so so bad
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
before you came into my life i missed you so bad
i missed you so bad i missed you so so bad
before you came into my life i missed you so bad
and you should know that so call me maybe",en,0.9746264815,TRUE,TRUE,
7a86XRg84qjasly9f6bPSD,1,250,184,-6,Major,10,6B,74,38,64,2,0,8,8,we are young,fun,2012,2012,1,"give me a second i i need to get my story straight
my friends are in the bathroom getting higher than the empire state
my lover she is waiting for me just across the bar
my seats been taken by some sunglasses askin bout a scar and
i know i gave it to you months ago
i know youre tryin to forget
but between the drinks and subtle things
the holes in my apologies
you know im tryin hard to take it back
so if by the time the bar closes
and you feel like fallin down
ill carry you home
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
now i know that im not all that you got
i guess that i i just thought
maybe we could find new ways to fall apart
but our friends are back so lets raise a toast
cause i found someone to carry me home
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
carry me home tonight
nana nananananana nananana
just carry me home tonight
nana nananananana nananana
carry me home tonight
nana nananananana nananana
just carry me home tonight
nana nananananana nananana
nana nananananana nananana
the moon is on my side i have no reason to run
nana nananananana nananana
so will someone come and carry me home tonight
nana nananananana nananana
the angels never arrived but i can hear the choir
nana nananananana nananana
so will someone come and carry me home
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
so if by the time the bar closes
and you feel like fallin down
ill carry you home tonight",en,0.8889077902,TRUE,TRUE,
4P0osvTXoSYZZC2n8IFH3c,1,231,110,-5,Major,4,12B,52,74,76,1,0,37,4,payphone,maroon 5,2012,2012,1,"im at a payphone tryin to call home
all of my change i spent on you
where have the times gone baby its all wrong
where are the plans we made for two
yeah i i know its hard to remember
the people we used to be
its even harder to picture
that youre not here next to me
you say its too late to make it
but is it too late to try
and in our time that you wasted
all of our bridges burned down
ive wasted my nights
you turned out the lights
now im paralyzed
still stuck in that time
when we called it love
but even the sun sets in paradise
im at a payphone tryin to call home
all of my change i spent on you
where have the times gone baby its all wrong
where are the plans we made for two
if happyeverafters did exist
i would still be holdin you like this
all those fairytales are full of shit
one more fuckin love song ill be sick oh
you turned your back on tomorrow
cause you forgot yesterday
i gave you my love to borrow
but you just gave it away
you cant expect me to be fine oh
i dont expect you to care yeah
i know i said it before but
all of our bridges burned down
ive wasted my nights
you turned out the lights
now im paralyzed oh
still stuck in that time
when we called it love
but even the sun sets in paradise
im at a payphone tryin to call home
all of my change i spent on you oh oh
where have the times gone baby its all wrong
where are the plans we made for two yeah
if happyeverafters did exist
i would still be holdin you like this
and all those fairytales are full of shit
one more fuckin love song ill be sick uh
now im at a payphone
man fuck that shit
i be out spendin all this money while you sittin round
wonderin why it wasnt you who came up from nothin
made it from the bottom now when you see me im stuntin
and all of my cars start with the push of a button
tellin me i changed since i blew up or whatever you call it
switched the number to my phone so you never could call it
dont need my name on my shirt you can tell that im ballin
swish what a shame coulda got picked
had a really good game but you missed your last shot
so you talk about who you see at the top
or what you coulda saw but sad to say its over for
phantom pulled up valet open doors
wished id go away got what you was looking for
now its me who they want
so you can go and take that little piece of shit with you
yeah im at a payphone tryin to call home
all of my change i spent on you woo
where have the times gone baby its all wrong yeah
where are the plans we made for two ooh ooh ooh
if happyeverafters did exist oh then
i would still be holdin you like this
and all these fairytales are full of shit yeah
one more fuckin love song ill be sick
yeah now im at a payphone",en,0.9636587501,TRUE,TRUE,
4cluDES4hQEUhmXj6TXkSo,1,199,125,-2,Major,4,12B,89,73,79,1,0,6,7,what makes you beautiful,one direction,2012,2012,1,"youre insecure dont know what for
youre turnin heads when you walk through the door
dont need makeup to cover up huh
bein the way that you are is enough
everyone else in the room can see it
everyone else but you
baby you light up my world like nobody else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful
if only you saw what i can see
youll understand why i want you so desperately
right now im looking at you and i cant believe
you dont know ohoh you dont know youre beautiful ohoh
thats what makes you beautiful
so ccome on you got it wrong
to prove im right i put it in a song
i dont know why youre being shy
and turn away when i look into your eyes
everyone else in the room can see it
everyone else but you
baby you light up my world like nobody else body else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful oh
if only you saw what i can see
youll understand why i want you so desperately
right now im looking at you and i cant believe
you dont know ohoh you dont know youre beautiful ohoh
thats what makes you beautiful
na nanana nanana na na
na nanana nana
na nanana nanana na na
na nanana nana
baby you light up my world like nobody else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful
baby you light up my world like nobody else light up my world like nobody else
the way that you flip your hair cmon gets me overwhelmed
but when you smile at the ground smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful oh woah
if only you saw what i can see
youll understand why i want you so desperately desperately
right now im looking at you and i cant believe
you dont know dont know ohoh you dont know youre beautiful ohoh
you dont know youre beautiful ohoh
thats what makes you beautiful",en,0.8766586781,TRUE,TRUE,
1NpW5kyvO4XrNJ3rnfcNy3,1,232,127,-5,Minor,5,4A,44,61,86,10,0,26,6,wild ones,flo rida,2012,2012,1,"hey i heard you were a wild one
ooh ooh ooh
if i took you home itd be a home run
show me how you do
i wanna shut down the club with you
hey i heard you like the wild ones wild ones wild ones
ooh ooh
oh ii like crazy foolish stupid
party goin wild fist pumpin music
i might lose it glass to the roof
thats how we dos it dos it dos it
i dont care tonight she dont care we like
almost there the right vibe ready to get live
aint no surprise take me so high
jump and nose dive surfin the crowd
ooh ooh
said i gotta be the man im the head of my band
mic check one two
shut em down in the club what a playboy does
til they all get loose loose off the bottle
we all get bent then again tomorrow
gotta break rules cause thats the motto
club shut down a hundred supermodels
hey i heard you were a wild one
ooh ooh ooh
if i took you home itd be a home run
show me how you do
i wanna shut down the club with you
hey i heard you like the wild ones wild ones wild ones
ooh ooh
ppparty rocker fa sho stopper
more chambull number one club popper
got a hangover like too much vodka
cant see me with ten binoculars
so cool no doubt by the end of the night
got the clothes comin off then i make that move
somehow some way gotta raise the roof roof
all black shades when the sun come through
uhoh its on like everything goes
wild out baby til the freak it shows
what happens to that body is a private show
stays right here priprivate show
i like em untamed im talkin high pain
tolerance bottoms up with the champagne
my life call my homie then we hit spain
keep it busy with the bail we get insane
hey i heard you were a wild one
ooh ooh ooh
if i took you home itd be a home run
show me how you do
i wanna shut down the club with you
hey i heard you like the wild ones wild ones wild ones
ooh ooh
i am a wild one break me in yeah
saddle me up and lets begin yeah
i am a wild one tame me now now
running with wolves and im on the prowl
show you another side of me
a side you would never thought you would see
tear up that body dominate you til youve had enough
i hear you like the wild stuff
hey i heard you were a wild one
oh ooh ooh ooh
if i took you home itd be a home run
show me how you do
i wanna shut down the club with you
hey i heard you like the wild ones wild ones wild ones
ooh ooh
i am a wild one break me in
saddle me up and lets begin
i am a wild one tame me now
running with wolves and im on the prowl",en,0.882789731,TRUE,TRUE,
6t6oULCRS6hnI7rm0h5gwl,1,277,108,-7,Major,0,8B,39,67,74,2,0,9,5,some nights,fun,2012,2012,1,"some nights i stay up cashin in my bad luck
some nights i call it a draw
some nights i wish that my lips could build a castle
some nights i wish theyd just fall off
but i still wake up i still see your ghost
oh lord im still not sure what i stand for oh
ohooh oh oh what do i stand for
ohooh oh oh what do i stand for
most nights i dont know anymore
oh oh ohooh oh oh
ohooh oh oh ohoh
oh oh ohooh oh oh
ohooh oh oh ohoh
this is it boys this is war
oh oh ohooh oh oh
what are we waiting for
ohooh oh oh ohoh
why dont we break the rules already
i was never one to believe the hype
oh oh ohooh oh oh
save that for the black and white
ohooh oh oh ohoh
try twice as hard and im half as liked
but here they come again to jack my style
and thats all right thats all right
i found a martyr in my bed tonight
she stops my bones from wondering
just who i who i who i
am oh who am i mmmm
mmmm
well some nights i wish that this all would end
cause i could use some friends for a change
and some nights im scared youll forget me again
some nights i always win i always win
but i still wake up i still see your ghost
oh lord im still not sure what i stand for oh
ohooh oh oh what do i stand for
ohooh oh oh what do i stand for
most nights i dont know
oh come on so this is it
i sold my soul for this
washed my hands of that for this
i miss my mom and dad for this
oh come on no when i see stars when i see
when i see stars thats all they are
when i hear songs they sound like a swan
so come on oh come on
oh come on oh come on
well that is it guys that is all
oh oh ohooh oh oh
five minutes in and im bored again
ohooh oh oh ohoh
ten years of this im not sure if anybody understands
this one is not for the folks at home
oh oh ohooh oh oh
sorry to leave mom i had to go
ohooh oh oh ohoh
who the fuck wants to die alone
all dried up in the desert sun
my heart is breakin for my sister
and the con that she called love
and then i look into my nephews eyes
man you wouldnt believe
the most amazing things
that can come from
some terrible nights
ahahahahahah ahahahahah
ahahahahahah ahahahahah all right come on
oh oh ohooh oh oh
ohooh oh oh ohoh
oh oh ohooh oh oh
ohooh oh oh ohoh
the other night you wouldnt believe
the dream i just had about you and me
id called you up but we both agreed
its for the best you didnt listen no
its for the best we get our distance ohohoh
for the best you didnt listen
its for the best we get our distance ohohohoh",en,0.9210979939,TRUE,TRUE,
1rUQmXEy41tXwHIKFECNTa,1,220,160,-5,Major,5,7B,56,51,68,8,0,50,4,wide awake,katy perry,2012,2012,1,"im wide awake
im wide awake
im wide awake
yeah i was in the dark
i was falling hard with an open heart
im wide awake
how did i read the stars so wrong
im wide awake
and now its clear to me
that everything you see aint always what it seems
im wide awake
yeah i was dreaming for so long
i wish i knew then what i know now
wouldnt dive in wouldnt bow down
gravity hurts you made it so sweet
til i woke up on on the concrete
fallin from cloud nine
crashin from the high
im letting go tonight
yeah im fallin from cloud nine
im wide awake
not losing any sleep
i picked up every piece and landed on my feet
im wide awake
need nothing to complete myself no
im wide awake
yeah i am born again
out of the lions den i dont have to pretend
and its too late
the storys over now the end
i wish i knew then what i know now
wouldnt dive in wouldnt bow down
gravity hurts you made it so sweet
til i woke up on on the concrete
fallin from cloud nine it was outta the blue im
crashin from the high
im letting go tonight yeah im letting you go im
im fallin from cloud nine
im wide awake
thunder rumbling
castles crumbling im wide awake
i am tryin to hold on
im wide awake
god knows that i tried
seeing the bright side im wide awake
but im not blind anymore
im wide awake
im wide awake
yeah im fallin from cloud nine it was outta the blue im
crashin from the high
you know im letting go tonight yeah im letting you go im
im fallin from cloud nine
im wide awake
im wide awake
im wide awake
im wide awake
im wide awake",en,0.7355846763,TRUE,TRUE,
2LEF1A8DOZ9wRYikWgVlZ8,1,248,128,-4,Minor,1,12A,68,71,89,6,0,31,7,good feeling,flo rida,2012,2012,1,"oh sometimes i get a good feeling yeah
i get a feeling that i never never never never had before no no
i get a good feeling yeah
oh sometimes i get a good feeling yeah
i get a feeling that i never never never never had before no no
i get a good feeling yeah
yes i can doubt better leave im runnin with this plan
pull me grab me crabs in the bucket cant have me
ill be the president one day
january first oh you like that gossip
like you the one drinking what god sip dot com
now i got a word for your tongue
how many rolling stones you want
yeah i got a brand new spirit oh speakin and its done
woke up on the side of the bed like i won oh
talk like a winner my chest to that sun
g5 dealer us to taiwan oh
now who can say that i wanna play back
mama knew i was a needle in a hay stack oh
a bugatti boy plus maybach
i got a feelin its a rap asap
oh sometimes i get a good feeling yeah
i get a feeling that i never never never never had before no no
i get a good feeling yeah
oh sometimes i get a good feeling yeah
i get a feeling that i never never never never had before no no
i get a good feeling yeah
the mountain top walk on water
i got power feel so royal
one second ima strike all you
diamond platinum no more for you
got adrenaline never givin in
givin ups not an option gotta get it in
witness i got the heart of twenty men
no fear go to sleep in the lions den oh
that flow that spark that crown
you lookin at the king of the jungle now oh
stronger than ever cant hold me down
a hundred miles gunning from the pitchers mound oh
straight game face its game day
see me running through the crowd full of melee oh
no trick plays im bill gates
take a genius to understand me
oh sometimes i get a good feeling yeah
i get a feeling that i never never never never had before no no
i get a good feeling yeah
oh sometimes i get a good feeling yeah
i get a feeling that i never never never never had before no no
i get a good feeling yeah
lets get it lets get it
i know you got the good feelin
lets get it lets get it
gotta love the life that we livin
lets get it lets get it
i know you got the good feelin
lets get it lets get it
gotta love the life that we livin
oh sometimes i get a good feeling yeah
i get a feeling that i never never never never had before no no
i get a good feeling yeah
oh sometimes i get a good feeling yeah
i get a feeling that i never never never never had before no no
i get a good feeling yeah
oh
oh
oh
oh sometimes i get a good feeling",en,0.9287310839,TRUE,TRUE,
3bC1ahPIYt1btJzSSEyyrF,1,224,104,-6,Major,0,8B,74,75,94,2,0,29,5,whistle,flo rida,2012,2012,1,"can you blow my whistle baby whistle baby let me know
girl im gonna show you how to do it and we start real slow
you just put your lips together and you come real close
can you blow my whistle baby whistle baby here we go
look
im bettin you like people
and im bettin you love freak mode
and im bettin you like girls
that give love to girls and stroke your little ego
i bet you im guilty your honor honor
thats just how we live in my genre genre
who in the hell done paved the road wider hey
theres only one flo and one rida woo
im a damn shame order more champagne
pull a damn hamstring tryna put it on ya
let your lips spin back around calmer
slow it down baby take a little longer
can you blow my whistle baby whistle baby let me know
girl im gonna show you how to do it and we start real slow
you just put your lips together and you come real close
can you blow my whistle baby whistle baby here we go
whistle baby whistle baby
whiwhistle baby whistle baby
whistle baby whistle baby
whiwhistle baby whistle baby
its like everywhere i go my whistle ready to blow
shawty dont even know she can get in it for the low
told me she not a pro its okay its under control
show me soprano cause girl you can handle
baby we start slow then you come up and park close
girl im the whistle man my bugatti the same notes
show me your perfect pitch you got it my banjo
talented with your lips like you blew out a candle
so amusing musing
now you can make a whistle with the music music
hope you aint got no issues you can do it do it
even if its no picture never lose it lose it
can you blow my whistle baby whistle baby let me know
girl im gonna show you how to do it and we start real slow
you just put your lips together and you come real close
can you blow my whistle baby whistle baby here we go
whistle baby whistle baby
whiwhistle baby whistle baby
whistle baby whistle baby
whiwhistle baby whistle baby
go on girl you can twerk it
let me see you whistle while you work it
ima lay it back dont stop it
cause i love it how you drop it drop it drop it on me
now shorty make that whistle blowowowow hey hey hey hey
yeah baby make that whistle blowowow hey hey hey hey
can you blow my whistle baby whistle baby let me know
girl im gonna show you how to do it and we start real slow
you just put your lips together and you come real close
can you blow my whistle baby whistle baby here we go
can you blow my whistle baby whistle baby whistle baby
can you blow my whistle baby whiwhistle baby whistle baby
can you blow my whistle baby whistle baby whistle baby
can you blow my whistle baby whiwhistle baby whistle baby",en,0.7941153646,TRUE,TRUE,
4XNrMwGx1SqP01sqkGTDmo,1,219,93,-3,Minor,5,4A,61,72,82,4,0,8,3,one more night,maroon 5,2012,2012,1,"ooh oohoohooh oohooh oohooh
ooh oohoohooh oohooh oohooh
you and i go hard at each other like were going to war
you and i go rough we keep throwing things and slamming the doors
you and i get so damn dysfunctional we stopped keeping score
you and i get sick yeah i know that we cant do this no more
yeah but baby there you go again there you go again
making me love you
yeah i stopped using my head using my head
let it all go
got you stuck on my body on my body like a tattoo
and now im feeling stupid feeling stupid crawling back to you
so i cross my heart and i hope to die
that ill only stay with you one more night
and i know ive said it a million times
but ill only stay with you one more night
try to tell you no but my body keeps on telling you yes
try to tell you stop but your lipstick got me so out of breath
ill be waking up in the morning probably hating myself
and ill be waking up feeling satisfied but guilty as hell
yeah but baby there you go again there you go again
making me love you making me love you
yeah i stopped using my head using my head
let it all go let it all go
got you stuck on my body on my body like a tattoo like a tattoo yeah
and now im feeling stupid feeling stupid crawling back to you
so i cross my heart and i hope to die yeah
that ill only stay with you one more night oh
and i know ive said it a million times yeah
but ill only stay with you one more night yeah
ooh oohoohooh oohooh oohooh
yeah baby give me one more night
ooh oohoohooh oohooh oohooh
yeah baby give me one more night woah yeah
ooh oohoohooh oohooh oohooh
yeah baby give me one more night
ooh oohoohooh oohooh oohooh
oh yeah yeah
but baby there you go again there you go again
making me love you
yeah i stopped using my head using my head
let it all go
got you stuck on my body on my body like a tattoo yeah yeah
yeah yeah
so i cross my heart and i hope to die ohohohoh ohohohoh
that ill only stay with you one more night ohohohohohoh
and i know ive said it a million times
oh ive said it a million times
but ill only stay with you one more night
yeah baby give me one more night
so i cross my heart and i hope to die yeah yeah
that ill only stay with you one more night yeah yeah
and i know ive said it a million times yeah yeah
but ill only stay with you one more night yeah yeah
i dunno
whatever whatever",en,0.8893520832,TRUE,TRUE,
