name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb,lyric,detected_lang,confidence_level,is_english
somebody that i used to know,gotye,4wCmqSrbyCgxEXROQE6vtV,2011,2012,1,"now and then i think of when we were together
like when you said you felt so happy you could die
i told myself that you were right for me
but felt so lonely in your company
but that was love and its an ache i still remember
you can get addicted to a certain kind of sadness
like resignation to the end always the end
so when we found that we could not make sense
well you said that we would still be friends
but ill admit that i was glad it was over
but you didnt have to cut me off
make out like it never happened and that we were nothing
and i dont even need your love
but you treat me like a stranger and that feels so rough
no you didnt have to stoop so low
have your friends collect your records and then change your number
i guess that i dont need that though
now youre just somebody that i used to know
now youre just somebody that i used to know
now youre just somebody that i used to know
now and then i think of all the times you screwed me over
but had me believing it was always something that id done
but i dont wanna live that way
reading into every word you say
you said that you could let it go
and i wouldnt catch you hung up on somebody that you used to know
but you didnt have to cut me off
make out like it never happened and that we were nothing ah
and i dont even need your love ohh
but you treat me like a stranger and that feels so rough ah
no you didnt have to stoop so low ohh
have your friends collect your records and then change your number ah
i guess that i dont need that though ohh
now youre just somebody that i used to know
somebody i used to know
somebody now youre just somebody that i used to know
somebody i used to know
somebody now youre just somebody that i used to know
i used to know
that i used to know
i used to know
somebody",en,0.9835542440414429,True
call me maybe,carly rae jepsen,3TGRqZ0a2l1LRblBkJoaDx,2012,2012,1,"i threw a wish in the well
dont ask me ill never tell
i looked to you as it fell
and now youre in my way
i trade my soul for a wish
pennies and dimes for a kiss
i wasnt lookin for this
but now youre in my way
your stare was holdin
ripped jeans skin was showin
hot night wind was blowin
where you think youre goin baby
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
and all the other boys try to chase me
but heres my number so call me maybe
you took your time with the call
i took no time with the fall
you gave me nothin at all
but still youre in my way
i beg and borrow and steal
at first sight and its real
i didnt know i would feel it
but its in my way
your stare was holdin
ripped jeans skin was showin
hot night wind was blowin
where you think youre goin baby
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
and all the other boys try to chase me
but heres my number so call me maybe
before you came into my life i missed you so bad
i missed you so bad i missed you so so bad
before you came into my life i missed you so bad
and you should know that i missed you so so bad
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
before you came into my life i missed you so bad
i missed you so bad i missed you so so bad
before you came into my life i missed you so bad
and you should know that so call me maybe",en,0.9746264815330505,True
we are young,fun,7a86XRg84qjasly9f6bPSD,2012,2012,1,"give me a second i i need to get my story straight
my friends are in the bathroom getting higher than the empire state
my lover she is waiting for me just across the bar
my seats been taken by some sunglasses askin bout a scar and
i know i gave it to you months ago
i know youre tryin to forget
but between the drinks and subtle things
the holes in my apologies
you know im tryin hard to take it back
so if by the time the bar closes
and you feel like fallin down
ill carry you home
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
now i know that im not all that you got
i guess that i i just thought
maybe we could find new ways to fall apart
but our friends are back so lets raise a toast
cause i found someone to carry me home
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
carry me home tonight
nana nananananana nananana
just carry me home tonight
nana nananananana nananana
carry me home tonight
nana nananananana nananana
just carry me home tonight
nana nananananana nananana
nana nananananana nananana
the moon is on my side i have no reason to run
nana nananananana nananana
so will someone come and carry me home tonight
nana nananananana nananana
the angels never arrived but i can hear the choir
nana nananananana nananana
so will someone come and carry me home
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
tonight
we are young
so lets set the world on fire
we can burn brighter than the sun
so if by the time the bar closes
and you feel like fallin down
ill carry you home tonight",en,0.888907790184021,True
payphone,maroon 5,4P0osvTXoSYZZC2n8IFH3c,2012,2012,1,"im at a payphone tryin to call home
all of my change i spent on you
where have the times gone baby its all wrong
where are the plans we made for two
yeah i i know its hard to remember
the people we used to be
its even harder to picture
that youre not here next to me
you say its too late to make it
but is it too late to try
and in our time that you wasted
all of our bridges burned down
ive wasted my nights
you turned out the lights
now im paralyzed
still stuck in that time
when we called it love
but even the sun sets in paradise
im at a payphone tryin to call home
all of my change i spent on you
where have the times gone baby its all wrong
where are the plans we made for two
if happyeverafters did exist
i would still be holdin you like this
all those fairytales are full of shit
one more fuckin love song ill be sick oh
you turned your back on tomorrow
cause you forgot yesterday
i gave you my love to borrow
but you just gave it away
you cant expect me to be fine oh
i dont expect you to care yeah
i know i said it before but
all of our bridges burned down
ive wasted my nights
you turned out the lights
now im paralyzed oh
still stuck in that time
when we called it love
but even the sun sets in paradise
im at a payphone tryin to call home
all of my change i spent on you oh oh
where have the times gone baby its all wrong
where are the plans we made for two yeah
if happyeverafters did exist
i would still be holdin you like this
and all those fairytales are full of shit
one more fuckin love song ill be sick uh
now im at a payphone
man fuck that shit
i be out spendin all this money while you sittin round
wonderin why it wasnt you who came up from nothin
made it from the bottom now when you see me im stuntin
and all of my cars start with the push of a button
tellin me i changed since i blew up or whatever you call it
switched the number to my phone so you never could call it
dont need my name on my shirt you can tell that im ballin
swish what a shame coulda got picked
had a really good game but you missed your last shot
so you talk about who you see at the top
or what you coulda saw but sad to say its over for
phantom pulled up valet open doors
wished id go away got what you was looking for
now its me who they want
so you can go and take that little piece of shit with you
yeah im at a payphone tryin to call home
all of my change i spent on you woo
where have the times gone baby its all wrong yeah
where are the plans we made for two ooh ooh ooh
if happyeverafters did exist oh then
i would still be holdin you like this
and all these fairytales are full of shit yeah
one more fuckin love song ill be sick
yeah now im at a payphone",en,0.9636587500572205,True
lights,ellie goulding,11ozIUBoXAgRTVWelDn4pL,2010,2012,1,"i had a way then
losing it all on my own
i had a heart then
but the queen has been overthrown
and im not sleeping now
the dark is too hard to beat
and im not keeping now
the strength i need to push me
you show the lights that stop me turn to stone
you shine it when im alone
and so i tell myself that ill be strong
and dreaming when theyre gone
cause theyre calling calling calling me home
calling calling calling home
you show the lights that stop me turn to stone home
you shine it when im alone home
noises
i play within my head
touch my own skin
and hope that im still breathin
and i think back to when
my brother and my sister slept
in an unlocked place
the only time i feel safe
you show the lights that stop me turn to stone
you shine it when im alone
and so i tell myself that ill be strong
and dreaming when theyre gone
cause theyre calling calling calling me home
calling calling calling home
you show the lights that stop me turn to stone home
you shine it when im alone home
lights lights lights lights
lights lights lights lights
home home lights lights lights lights
lights lights
you show the lights that stop me turn to stone
you shine it when im alone
and so i tell myself that ill be strong
and dreaming when theyre gone
cause theyre calling calling calling me home
calling calling calling home
you show the lights that stop me turn to stone home
you shine it when im alone home
home home lights lights lights lights
lights lights lights lights
home home lights lights lights lights
lights lights lights lights",en,0.8098229169845581,True
glad you came,the wanted,5yDL13y5giogKs2fSNf7sj,2011,2012,1,"the sun goes down the stars come out
and all that counts is here and now
my universe will never be the same
im glad you came
you cast a spell on me spell on me
you hit me like the sky fell on me fell on me
and i decided you look well on me well on me
so lets go somewhere no one else can see you and me
turn the lights out now
now ill take you by the hand
hand you another drink
drink it if you can
can you spend a little time
time is slipping away
away from us so stay
stay with me i can make
make you glad you came
the sun goes down the stars come out
and all that counts is here and now
my universe will never be the same
im glad you came im glad you came
you cast a spell on me spell on me
you hit me like the sky fell on me fell on me
and i decided you look well on me well on me
so lets go somewhere no one else can see you and me
turn the lights out now
now ill take you by the hand
hand you another drink
drink it if you can
can you spend a little time
time is slipping away
away from us so stay
stay with me i can make
make you glad you came
the sun goes down the stars come out
and all that counts is here and now
my universe will never be the same
im glad you came im glad you came
oh oh oh oh
im glad you came
oh oh oh oh
so glad you came
oh oh oh oh
im glad you came
oh oh
im glad you came
the sun goes down the stars come out
and all that counts is here and now
my universe will never be the same
im glad you came im glad you came",en,0.9259235262870789,True
stronger (what doesn't kill you),kelly clarkson,6D60klaHqbCl9ySc8VcRss,2011,2012,1,"you know the bed feels warmer
sleepin here alone sleepin here alone
you know i dream in color
and do the things i want do the things i want
you think you got the best of me
think youve had the last laugh
bet you think that everything good is gone
think you left me broken down
think that ill come running back
baby you dont know me cause youre dead wrong
what doesnt kill you makes you stronger
stand a little taller
doesnt mean im lonely when im alone
what doesnt kill you makes a fighter
footsteps even lighter
doesnt mean im over cause youre gone
what doesnt kill you makes you stronger stronger
just me myself and i
what doesnt kill you makes you stronger
stand a little taller
doesnt mean im lonely when im alone
you heard that i was starting over with someone new
they told you i was moving on and over you
you didnt think that id come back
id come back swinging
you tried to break me but you see
what doesnt kill you makes you stronger
stand a little taller
doesnt mean im lonely when im alone
what doesnt kill you makes a fighter
footsteps even lighter
doesnt mean im over cause youre gone
what doesnt kill you makes you stronger stronger
just me myself and i
what doesnt kill you makes you stronger
stand a little taller
doesnt mean im lonely when im alone
thanks to you i got a new thing started
thanks to you im not the brokenhearted
thanks to you im finally thinkin bout me
you know in the end the day you left was just my beginning
in the end
what doesnt kill you makes you stronger
stand a little taller
doesnt mean im lonely when im alone
what doesnt kill you makes a fighter
footsteps even lighter
doesnt mean im over cause youre gone
what doesnt kill you makes you stronger stronger
just me myself and i
what doesnt kill you makes you stronger
stand a little taller
doesnt mean im lonely when im alone what doesnt kill you
what doesnt kill you makes you stronger stronger
just me myself and i what doesnt kill you
what doesnt kill you makes you stronger stronger
stand a little taller taller
doesnt mean im lonely when im alone what doesnt kill you
when im alone",en,0.8640798330307007,True
we found love,rihanna,6qn9YLKt13AGvpq9jfO8py,2011,2012,1,"yellow diamonds in the light
and were standin side by side
as your shadow crosses mine
what it takes to come alive
its the way im feelin i just cant deny
but ive gotta let it go
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
shine a light through an open door
love and life i will divide
turn away cause i need you more
feel the heartbeat in my mind
its the way im feelin i just cant deny
but ive gotta let it gooohoh
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
yellow diamonds in the light
and were standin side by side
as your shadow crosses mine
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place
we found love in a hopeless place",en,0.9110938310623169,True
starships,nicki minaj,1oHNvJVbFkexQc0BpQp7Y4,2011,2012,1,"redone
uh
lets go to the beacheach lets go get away
they say what they gonna say
have a drink clink found the bud light
bad bitches like me is hard to come by
the patrón own lets go get it on
the zone on yes im in the zone
is it two three leave a good tip
ima blow off my money and dont give two shits ohoh
im on the floor floor i love to dance
so give me more more til i cant stand
get on the floor floor like its your last chance
if you want more more then here i am
starships were meant to fly
hands up and touch the sky ohohohoh
cant stop cause were so high
lets do this one more time ohohohoh
starships were meant to fly
hands up and touch the sky ohohohoh
lets do this one last time
cant stop
were higher than a motherfucka
were higher than a motherfucka
were higher than a motherfucka
jump in my hooptyhooptyhoop i own that
and i aint payin my rent this month i owe that
but fuck who you want and fuck who you like
dancehall life theres no end in sight
twinkle twinkle little star
now everybody let me hear you say ray ray ray
now spend all your money cause today payday
and if you a g you a ggg
my name is onika you can call me nicki woo
get on the floor floor like its your last chance
if you want more more then here i am
starships were meant to fly
hands up and touch the sky ohohohoh
cant stop cause were so high
lets do this one more time ohohohoh
starships were meant to fly
hands up and touch the sky ohohohoh
lets do this one last time
cant stop
were higher than a motherfucka
were higher than a motherfucka
were higher than a motherfucka
starships were meant to fly
hands up and touch the sky
cant stop cause were so high
lets do this one more time ohohohoh
starships were meant to fly
hands up and touch the sky ohohohoh
lets do this one last time
cant stop
were higher than a motherfucka
were higher than a motherfucka
were higher than a motherfucka",en,0.9702752232551575,True
what makes you beautiful,one direction,4cluDES4hQEUhmXj6TXkSo,2012,2012,1,"youre insecure dont know what for
youre turnin heads when you walk through the door
dont need makeup to cover up huh
bein the way that you are is enough
everyone else in the room can see it
everyone else but you
baby you light up my world like nobody else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful
if only you saw what i can see
youll understand why i want you so desperately
right now im looking at you and i cant believe
you dont know ohoh you dont know youre beautiful ohoh
thats what makes you beautiful
so ccome on you got it wrong
to prove im right i put it in a song
i dont know why youre being shy
and turn away when i look into your eyes
everyone else in the room can see it
everyone else but you
baby you light up my world like nobody else body else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful oh
if only you saw what i can see
youll understand why i want you so desperately
right now im looking at you and i cant believe
you dont know ohoh you dont know youre beautiful ohoh
thats what makes you beautiful
na nanana nanana na na
na nanana nana
na nanana nanana na na
na nanana nana
baby you light up my world like nobody else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful
baby you light up my world like nobody else light up my world like nobody else
the way that you flip your hair cmon gets me overwhelmed
but when you smile at the ground smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful oh woah
if only you saw what i can see
youll understand why i want you so desperately desperately
right now im looking at you and i cant believe
you dont know dont know ohoh you dont know youre beautiful ohoh
you dont know youre beautiful ohoh
thats what makes you beautiful",en,0.8766586780548096,True
