name_lower,artist_lower,spt_id,release_year,length (total sec),tempo,loudness,scale,key (num),camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,lyric,is_bb
what you want - chromeo remix,boys noize,13ZsCa2muiXhSgfz4J1LDg,2014,243,112,-5,Major,9,11B,70,70,76,0,0,14,3,"this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you want
one
this is what you get
one
this is what you want
one
this is what you get
one
one
one
this is what you want
this is what you get
this is what you want
this is what you get
one
one
this is what you want
this is what you get
this is what you want
this is what you get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get
want
get get
want
get get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get
this is what you want
this is what you get",0
cat rider,little dragon,7m9yPkhvTfTlYEf0whUrNb,2014,273,110,-10,Major,5,7B,32,68,37,76,2,11,4,"two months ago now
since she came around this house
her answering machines full
he thinks listening could give her doubts
but when this girls made up her mind
shes made up her mind made up her mind
looking out to the horizon
no turnin back no wastin time
smooth cat rider
stop bragging cause she broke your facade
dont we all want to be stars and all
stop playing with the one that you love
smooth cat rider
stop bragging cause its gone to your head
so smooth but she was smart instead
stop playing with the one that you love
a fountain in the hall
big old portraits of himself on the wall
a diamond sculpture face
this peacock is flying all over the place
the tigers extra claws no shes not impressed
your laughs and stupid jokes the only thing she missed
now you cant stop looking back
leaving messages
smooth cat rider
stop bragging cause she broke your facade
dont we all want to be stars and all
stop playing with the one that you love
smooth cat rider
stop playing cause its gone to your head
so smooth wish you were smart instead
stop playing with the one that you love
empty bottles where to go next
knowing what you truly missed
its too late cant rewind it
cant get out your kingsize bed
now youre left with names to forget
trying to heal from the pain
if only you could rewind it
would not have acted the same
smooth cat rider
she broke your facade
smooth cat rider
mmhmm",0
dreams,dharmacide,6oeLRk6L06XqWiP2830u90,2021,133,170,-6,Major,1,3B,34,37,88,0,82,53,4,"theres no fun theres no fun
so i cant keep holding on
i hate you but i miss you too
trying to find some
something to do
im not living with this feeling
saw your photographs
everything ok
can you hear me in your dreams
can you hear me
saw your photographs
everything ok
can you hear me in your dreams
can you hear me",0
high,sivik,2diG4h1sYNUIsFuOrdI9Dz,2015,231,135,-5,Minor,7,6A,60,62,71,10,0,24,5,"whisper say my name
the lights are gettin lower
trouble from your lips
one taste im goin over
falling between
this feel is what im after
empty need the high
fix me im feelin sober
i dont even care yeah you got me good
we dont gotta know if we should
gettin lost on you yeah you said i could
cause you know that cause you know
once i get it going
so addicted oh
got me trippin oh
high off of you
once you get it going
so addicted oh
got you trippin oh
high off of me
you keep me from crashing down
stay a little longer
stay a little longer with me
once i get it going
so addicted oh
got me trippin oh
high off of you
darkness chase the day
no light the sun is rising
burnin skin to skin
meltin you cant fight it
slippin under
the heat that we keep bringin
listen in my head
with you you keep it spinning
i dont even care yeah you got me good
we dont gotta know if we should
gettin lost on you yeah you said i could
cause you know that cause you know
once i get it going
so addicted oh
got me trippin oh
high off of you
once you get it going
so addicted oh
got you trippin oh
high off of me
you keep me from crashing down
stay a little longer
stay a little longer with me
once i get it going
so addicted oh
got me trippin oh
high off of you
you keep me from crashing down
yeah you got it figured out
cause you get me high
you get me high
once i get it going
so addicted oh
got me trippin oh
high off of you
once you get it going
so addicted oh
got you trippin oh
high off of me
you keep me from crashing down
stay a little longer
stay a little longer with me
once i get it going
so addicted oh
got me trippin oh
high off of you
high off of you
high off of you
you get
high off of you
high off of you",0
homonyms,eartheater,3Yli7uWdYoxhtC8lsQEKC3,2015,246,151,-15,Major,9,11B,36,45,38,93,82,11,6," headache
headache again and gone
homonyms in my bed
oh god growing 
oh god growing 
headache again and gone  headache
headache again and gone
homonyms in my bed
right now if the  broke it
release history
ah her story
leave that on the 
itll hold you off if you let it",0
butter,bts,6jjYDGxVJsWS0a5wlVF5vS,2022,164,110,-5,Major,8,4B,70,76,46,0,0,8,9,"smooth like butter
like a criminal undercover
gon pop like trouble
breakin into your heart like that ooh
cool shade stunner
yeah i owe it all to my mother
hot like summer
yeah im makin you sweat like that
break it down
ooh when i look in the mirror
ill melt your heart into two
i got that superstar glow so ooh
do the boogie like
side step right left to my beat
high like the moon rock with me baby
know that i got that heat
let me show you cause talk is cheap
side step right left to my beat
get it let it roll
smooth like butter
pull you in like no other
dont need no usher
to remind me you got it bad
aint no other
that can sweep you up like a robber
straight up i got ya
makin you fall like that
break it down
ooh when i look in the mirror
ill melt your heart into two
i got that superstar glow so ooh
do the boogie like
side step right left to my beat
high like the moon rock with me baby
know that i got that heat
let me show you cause talk is cheap
side step right left to my beat
get it let it roll
get it let it roll
get it let it roll
ice on my wrist im the nice guy
got the right body and the right mind
rollin up to party got the right vibe
smooth like butter hate us love us
fresh boy pull up and we lay low
all the playas get movin when the bass low
got army right behind us when we say so
lets go
side step right left to my beat right left to my beat
high like the moon rock with me baby
know that i got that heat
let me show you cause talk is cheap you know that talk is cheap
side step right left to my beat
get it let it roll
smooth like butter cool shade stunner
and you know we dont stop
hot like summer aint no bummer
you be like oh my god
we gon make you rock and you say yeah
we gon make you bounce and you say yeah
hotter sweeter cooler butter
get it let it roll",1
money in the grave,drake,5ry2OE6R2zPQFDO85XkgRb,2019,205,101,-4,Minor,10,3A,10,83,50,10,0,12,5,"yeah okay
lil cc on the beat mmm
yeah yeah
i mean where the fuck should i really even start
i got hoes that im keepin in the dark
i got my niggas cross the street livin large
thinkin back to the fact that they dead
thought my raps wasnt facts til they sat with the bars
i got two phones one need a charge
yeah they twins i could tell they ass apart
i got big packs comin on the way
i got big stacks comin out the safe
i got lil max with me he the wave
its a big gap between us in the game
in the next life im tryna stay paid
when i die put my money in the grave
when i die put my money in the grave
i really gotta put a couple niggas in they place
really just lapped every nigga in the race
i really might tat realest nigga on my face
lil cc let it slap with the bass
i used to save hoes with a mask and a cape
now im like nah love im good go away
aint about to die with no money i done gave it
i was on top when that shit meant a lot
still on top like im scared of the drop
still on top and these niggas wanna swap
niggas wanna swap like its slauson or watts
i dont wanna change cause im good where im at
mob ties so im always good where im at
word to junior jazzy baby j
tell em when i die put my money in the grave
couple figures killers call and collect collect
she fuck a nigga then she on to the next next
really livin large she in awe with a mack
when you niggas thinkin small in the mall with a rat rat
roll with us if you really wanna get it get it
go get a half a million in the sprinter sprinter
phone ringin bitches know a big tipper tipper
i got the hookup and theres really no limit limit
dead broke is in you nigga dna dna
rickey smileys in decatur with the yé
lil nigga just another state case
bury my motherfuckin chase bank time to bounce bounce
gotta count on my allowance gotta count on my allowance
you niggas snitches so i gotta reroute it so i gotta reroute it
a nigga drippin like i got a zillion dollars
got the trap jumpin like zion when i rebound it
then im out then im out
and ill never talk about it about it
the homies quiet but we all smoke the loudest loudest
rich niggas and im really bein modest
cause the way i do my deals never treated like a artist
want the house house
you could dm my accountant
my per diem six figures and im countin
nine figures was the goal til i hit it
these niggas aint livin so bury mine with me
ross got it maybach music
when i die put my money in the grave
i really gotta put a couple niggas in they place
really just lapped every nigga in the race
i really might tat realest nigga on my face
lil cc let it slap with the bass
i used to save hoes with a mask and a cape
now im like nah love im good go away
aint about to die with no money i done gave it",1
2 phones,kevin gates,0wdKiSBUT7aZkXUIdJWcwC,2016,240,122,-5,Minor,7,6A,55,90,68,16,0,19,36,"hello what the deal bet
i got two phones one for the plug and one for the load
i got two phones one for the bitches and one for the dough
think i need two more
line bumpin im ringringringin
countin money while they ringringringin
trap jumpin im ringringringin
i got two phones one for the plug and one for the load
i got two phones one for the bitches and one for the dough
think i need two more
line bumpin im ringringringin
countin money while they ringringringin
trap jumpin im ringringringin
button start the foreign oh my god im gorgeous
i just put the key inside my pocket
park it might not get to see it this a new ferrari
man in the mirror how you choose to bother
someone said they callin i dont feel like talkin
everything i get returned the way i bought it
phone be interrupting me while im recordin
phone be making women feel they unimportant
call my dog he say its all the way retarded
keep the oil cause i am not using the foreman
kitchen i just finished up a new performance
hater wish you well
i got clientele
i just got it off the scale
i got two phones one for the plug and one for the load
i got two phones one for the bitches and one for the dough
think i need two more
line bumpin im ringringringin
countin money while they ringringringin
trap jumpin im ringringringin
i got two phones one for the plug and one for the load
i got two phones one for the bitches and one for the dough
think i need two more
line bumpin im ringringringin
countin money while they ringringringin
trap jumpin im ringringringin
there they go again one of my lil friends
they dont give a damn how a nigga been
all they wanna know is what i got to give
how much did i spend what i got to lend
what i did and what i didnt do for them
bricks comin in somewhere on the rim
section doin numbers nowhere by a gym
droppin bottles spend im supplyin ten
jumpin out a honda i just got it in
askin what i cop none of your concern
one day you gone learn what you tryna get
everything on sale goin out of biz
partners up in jail gotta feed the kids
juggin round the city you know what it is
bread winner business put that on the wrist
i got two phones one for the plug and one for the load
i got two phones one for the bitches and one for the dough
think i need two more
line bumpin im ringringringin
countin money while they ringringringin
trap jumpin im ringringringin
i got two phones one for the plug and one for the load
i got two phones one for the bitches and one for the dough
think i need two more
line bumpin im ringringringin
countin money while they ringringringin
trap jumpin im ringringringin
ring ring ringin man
find me balling hard
come from grinding hard
getting calling cards from your barbie doll
when she round me she know im her bodyguard
money callin for me baby girl im sorry
you just high yella you not that important
weight shape her i could pin you to the carpet
smell like tartar ima put you in the water
conversation cost a lot of chips
she dont really get a lot of this
engagin where im gazin at her hips
and aint nobody makin no attempts
amazing clip hanging slanging dick
maybe we can make it takin trips
maybe i was thinkin too impatient
phone ringing hold up what it is
i got two phones one for the plug and one for the load
i got two phones one for the bitches and one for the dough
think i need two more
line bumpin im ringringringin
countin money while they ringringringin
trap jumpin im ringringringin
i got two phones one for the plug and one for the load
i got two phones one for the bitches and one for the dough
think i need two more
line bumpin im ringringringin
countin money while they ringringringin
trap jumpin im ringringringin",1
unforgettable,french montana,3B54sVLJ402zGa6Xm4YGNe,2017,233,98,-5,Major,6,2B,73,73,77,3,1,10,12,"its not good enough for me
since ive been with you ooh
its not gonna work for you
nobody can equal me i know
im gonna sip on this drink when im fucked up
i should know how to pick up
im gonna catch the rhythm
while she push up against me ooh and she tipsy
i had enough convo for 24
i peepd you from across the room
pretty little body dancin like gogo hey
and you are unforgettable
i need to get you alone ooh
why not a fuckin good time never hurt nobody
i got a little drink but its not bacardi
if you loved the girl then im so so sorry
i gotta give it to her like we in a marriage
oh like we in a hurry
no no i wont tell nobody
youre on your level too
tryna do what lovers do
feelin like im fresh out boosie boosie
if they want the drama got the uzi uzi
ship the whole crew to the cruise ship cruise
doin shit you dont even see in movies movies
ride with me ride with me boss boss
i got a hard head but her ass soft soft
she want the last name with the ring on it
cause i pulled out a million cash told her plank on it
and you are unforgettable
i need to get you alone
now you wanna choose
just pop the bubbly in the cuzi
its not good enough for me
since ive been with you ooh
im gonna sip on this drink when im fucked up
i should know how to pick up
im gonna catch the rhythm
while she push up against me ooh and she tipsy
i had enough convo for 24
i peepd you from across the room
pretty little body dancin like gogo hey
and you are unforgettable
i need to get you alone ooh
why not a fuckin good time never hurt nobody
i got a little drink but its not bacardi
if you loved the girl then im so so sorry
i gotta give it to her like we in a marriage
oh like we in a hurry
no no i wont tell nobody
youre on your level too
tryna do what lovers do
you aint enough for me
too much for you alone
baby go and grab some bad bitches bring em home
know the jets on me
ima curve my best for you you know
so pick up that dress for me
leave the rest on
too much convo for 24 hours
when you stand next to 24 karats
she left her man at home
she dont love him no more
i want your mind and your body
dont mind nobody
so you dont ever hurt nobody
baby girl work your body work your body
and you are unforgettable
i need to get you alone
now you wanna choose
just pop the bubbly in the cuzi
why not
oh like we in a hurry
no no i wont tell nobody
youre on your level too
tryna do what lovers do",1
like i'm gonna lose you,meghan trainor,2YlZnw2ikdb837oKMKjBkW,2015,225,108,-7,Major,0,8B,42,63,53,40,0,18,4,"i found myself dreamin in silver and gold
like a scene from a movie that every broken heart knows
we were walkin on moonlight and you pulled me close
split second and you disappeared and then i was all alone
i woke up in tears with you by my side
a breath of relief and ive realised
no were not promised tomorrow
so im gonna love you like im gonna lose you
im gonna hold you like im saying goodbye
wherever were standin i wont take you for granted
cause well never know when when well run out of time
so im gonna love you like im gonna lose you lose you
im gonna love you like im gonna lose you
in the blink of an eye just a whisper of smoke
you could lose everything the truth is you never know
so ill kiss you longer babe hey any chance that i get
ill make the most of the minutes and love with no regret
lets take our time to say what we want say what we want
use what we got before its all gone all gone
cause no no were not promised tomorrow
so im gonna love you like im gonna lose you lose you
im gonna hold you hey like im saying goodbye
wherever were standin yeah i wont take you for granted
cause well never know when when well run out of time
so im gonna love you im gonna love you like im gonna lose you like im gonna lose you
im gonna love you love you like im gonna lose you hey
im gonna love you oh like im gonna lose you like im gonna lose you
im gonna hold you like im saying goodbye
wherever were standin i wont take you for granted
cause well never know when when well run out of time
so im gonna love you im gonna love you baby like im gonna lose you like im gonna lose you
im gonna love you oh like im gonna lose you",1
