,name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb
0,you are my disco (one night at gay village) - club mix,barbara tucker,53cK1SHTpXrB4sAw3r5NId,2012,9999,0
1,"piano sonata no. 31 in a-flat major, op. 110: iii. adagio ma non troppo -",ludwig van beethoven,3nFIGJk5SJu2no28alNNGU,2012,9999,0
2,attrition,soundgarden,3R4ejwZKF982Kv405a4LBv,2012,9999,0
3,over hill,howard shore,0ExRr8S4WInw2dlKup591r,2012,9999,0
4,without you - shympulz album version,shympulz,1XFreX4qgElwGDHbrSvaPH,2012,9999,0
5,goodbye world (feat. sean lypher & i worship),rondell positive,5jDEv6j7lT3rsb7ZbosN39,2012,9999,0
6,more than this,one direction,0UAB340gAcSMk3r0a8PTag,2012,9999,0
7,calmante,musica relajante,0ddLInUJdb2OfVmrIITOBW,2012,9999,0
8,parfois on recule,buridane,2OAV1jfFTpqWFmMWnxSu4C,2012,9999,0
9,thousand hands,michael stearns,5l3F4HEal6ReFtvP46k44C,2012,9999,0
10,sunny came home,shawn colvin,5HWAulkwadQpsRsNSBGuWn,2012,9999,0
11,so sophisticated,rick ross,0pNMYo9MXmyyR9Fp9HwiBT,2012,9999,0
12,relaxing sounds,tranquil music sound of nature,7e6SOf6UAu0HJuk7W2pxaj,2012,9999,0
13,strange magic,cheyenne jackson,68O0Beoc3lZEZOo8XSGx9I,2012,9999,0
14,when i'm able,the revivalists,2ZQD6TKvFnnVVNMYb585NH,2012,9999,0
15,medium rare,kini rao,4DctYml2gwR2bG2rVAb6IY,2012,9999,0
16,c'est la vie,christopher fitzgerald,1gkco6koF7eYTZDGIByNwQ,2012,9999,0
17,face down,jawbreaker,3blLYTvCo1X2MAgrUuToR7,2012,9999,0
18,april fooled me,heidi blickenstaff,62PcgWFexyDMFJgzBtDIeG,2012,9999,0
19,release me (dj-kicks) - mixed,hercules & love affair,18K1271jZ2Y50tgnrv7wF9,2012,9999,0
20,meow,rené lavice,12fD5sCUpRjzdXWuipsg2P,2012,9999,0
21,jiya lage na,sona mohapatra,5AhxzlhZbKYfu4YNiUnmvx,2012,9999,0
22,treat street,vince guaraldi,3bSj46UF1l5c2yKHvWGeGn,2012,9999,0
23,in & out of the groove,scan 7,1JRSg7ODkQ2tfphFWGcadC,2012,9999,0
24,away in a manger,jim brickman,2hprJy8I7synUCNAMVUzll,2012,9999,0
25,i am damage,spineshank,5ErhA43mfEJLtC0oN7fmm4,2012,9999,0
26,whatever! - original mix,frontliner,6CNnL2l7R437z27bvNb9X0,2012,9999,0
27,ending theme: continuum,sigh,6tMaqTh2n3hry9jeTsLkKI,2012,9999,0
28,apronte,edgardo donato,37O8EwsfG3Ay4xYog6mc26,2012,9999,0
29,dont let me cave in,the wonder years,5oLAwKKPYUXISnMRYemfRV,2012,9999,0
30,self abuse,poison idea,7d5YOGb2ovpK2xXFE8iweL,2012,9999,0
31,god help this divorce,miike snow,1oOJAG2eS5OCcrbWQrvjMR,2012,9999,0
32,é fato,cristiano araújo,3OdYjLl3xfW5KamiCmpRM5,2012,9999,0
33,pra não chorar um dia,pablo,6eZ9EhaBzlqSehWEdMAIeZ,2012,9999,0
34,weed smokers - raw,vybz kartel,5PvkOh7Thcvvmmgl2wYyTr,2012,9999,0
35,peace of mind,mindy smith,0K56Grrg7VohyeJiBy55RU,2012,9999,0
36,same ol',the heavy,2anWNTYGBxXDUmOFOiDh1b,2012,9999,0
37,the biggest thing that man has ever done (the great historical bum),woody guthrie,1GUJ1chjYqsWE76PJnO44w,2012,9999,0
38,la llave,abel pintos,2luvk6fvi2qyPZWLQLE7M5,2012,9999,0
39,this is who we are,the pitcher,3od67cvEqB8Jgyr723LdFV,2012,9999,0
40,"na na hey hey, kiss him goodbye",schnitte,5atWRcqAk9JdHVimKz2hkJ,2012,9999,0
41,actual pain,mrs. magician,0NPBvSENxnsJv0dfOIvLVq,2012,9999,0
42,sisi mbon,honny & the bees band,1Wzy0hrcyeHXOnOYxmMp6s,2012,9999,0
43,indian dreams - original mix,skeef menezes,35CWbK5mEFbwG2rnRvCgap,2012,9999,0
44,worry walks beside me,michael kiwanuka,17GL4KR9htc6RvfmMMlo6c,2012,9999,0
45,shokabillis - instrumental,passo largo,6xxGKQOsE0chcXUSaoRFwB,2012,9999,0
46,change (in the house of flies),twinkle twinkle little rock star,6TtU5CyxXfLgb7bXxNKrxG,2012,9999,0
47,deter the tyrant,epica,2At06eH2zKPK1YrylyInS5,2012,9999,0
48,shirt da button,sonu nigam,5hTRhSAP11DXrNas4FUiY1,2012,9999,0
49,drive me,phillip phillips,4V8UAYs096q62PGVQuudbw,2012,9999,0
50,joy to the world,sufjan stevens,0sh1AdicTDFsyUsHveKD5j,2012,9999,0
51,city girls,goldroom,6My6Ga47BJ9rjiwTetbDRA,2012,9999,0
52,如果還有時間,ellen loo,6VjumBszFje0pQU3WhtQBF,2012,9999,0
53,burn - the bloody beetroots motherfucker remix,rob zombie,1jLMrMvWWGZPsA3QuZnjW5,2012,9999,0
54,drop,paniyolo,5kMUsEG2QvfzO0eVsQmSlq,2012,9999,0
55,miss huddinge ´72 - live från cirkus,thåström,1E3Z49EQhMo2CkT4YorHWa,2012,9999,0
56,when lights are low,vic damone,7Kb0Y4Qmy8xQVuz83of6Nh,2012,9999,0
57,every storm (runs out of rain),gary allan,6hIS1u7nuJmFE12rXAPMxm,2012,9999,0
58,movement - edit,b-front,31lP2loa0peq1t25dCNlI7,2012,9999,0
59,a galera quer alô,diego costa,5EsBzrbXwKNg2vgm0IfenI,2012,9999,0
60,候斯頓之戀,swing,033I6jiwWGprJdShEIMyC6,2012,9999,0
61,ocean coming,evening lights,3uGPqCxr0aAqyNpvxGNE56,2012,9999,0
62,eu ainda vou ver (coração de pedra),banda garota safada,76TgPL1kvGEbR9jNVHlgbM,2012,9999,0
63,"one step closer - live from frankfurt, 2008",linkin park,6CycnO02O5PIh36NNWaAyq,2012,9999,0
64,suite madrilena no. 1: 4. en la cibeles (nocturno),celedonio romero,6u4hGYKpVPqagIGBQ70gua,2012,9999,0
65,white light,motorama,35thRk7tLRzcrkXVArrzKl,2012,9999,0
66,vale dicere,the air i breathe,2PLsPocdYP19MmcoBVdUBe,2012,9999,0
67,"me and you will never see you, holy land",andrei krylov,6RRRyPHzyaXSKX1OGlYm0n,2012,9999,0
68,el manicero,preservation hall jazz band,3mFp9PIBqDrNKiktvCmiqM,2012,9999,0
69,fernsehapparat,anna maria kaufmann,2Ah1ERUIMnFDdNdRFbXjZ2,2012,9999,0
70,nsu na kwan,ebo taylor,4anAuA8Ik8KdSduU7Hmwrb,2012,9999,0
71,fountainhead (dj-kicks) - mixed,photek,0n01yajTJJSlie9W6BFhVV,2012,9999,0
72,漸漸,stephanie cheng,7ndVSBt5f65BpBVbYxDfev,2012,9999,0
73,ich bin verliebt in die liebe,danny malle,5ECf7saO4ewU3bYf2JEklJ,2012,9999,0
74,rock our numbers,jack hartmann,2YHZBf8W2NzuupdiUowFhK,2012,9999,0
75,are you going my way,lukie d,5ODnxU0OsLbVSsMDOK4RRx,2012,9999,0
76,drag you out,handguns,7kB3vl65652dYDtWOlIovx,2012,9999,0
77,who will kill the emperor,1833 ad,0APJL4J0VGZmDV8hxosrM5,2012,9999,0
78,no tengo dinero,the fleshtones,0fTW3rt2pOBm53FP1e8KN0,2012,9999,0
79,bollywood delight,karunesh,0w5X9Wi2WTRntnAmshem5O,2012,9999,0
80,the king of glory,shekinah glory ministry,4DjJgG75kMvqERMHiKbaC5,2012,9999,0
81,what a time in heaven,paul williams,33UYHmjXut93KwxTg8P375,2012,9999,0
82,baião da garoa (feat. thaís juriti),genival lacerda,44V5RUbMBeTHcXpgKD1hIZ,2012,9999,0
83,dance (blow it all away),house of heroes,4oKFQKu60Df9kKs9GQHmcv,2012,9999,0
84,we are what we are,rpwl,0He2g6yXfR7gPbVR3upf4k,2012,9999,0
85,i'm ok,4minute,5SgG8xDG6bsNmp8An02rxJ,2012,9999,0
86,hard times,soothsayers,2uWxjJSwqCK7LZ2FVPngWc,2012,9999,0
87,braddom,activator,6zrRPXTvVDweyOFdyzXoeM,2012,9999,0
88,intervention,helen jane long,6xUVzHmY9kqNTN7zFs1zGa,2012,9999,0
89,theme from belle et fou - danny krivit edit,jazzanova,78wcBRMLDOR5H4of3dhfQx,2012,9999,0
90,dead heart beats,the bones,7bARkN1WWGjjYFqnfZWIbv,2012,9999,0
91,turn the sun off!,imperial age,58BoMx5vgqDtk2EOZPw6FL,2012,9999,0
92,night colours - hector sawiak remix,michael & levan,6NDJyxX7UOnFH2woCl37Ti,2012,9999,0
93,wish you well,joshua hyslop,62Q4JFKe161aodt6oB6SFI,2012,9999,0
94,look for me at jesus feet,kingdom heirs,3nGDsMZAhPGNjuvDJmbsaf,2012,9999,0
95,night colours,michael & levan,4QUB52Gfm9ZX3k7k8woPfP,2012,9999,0
96,xanandra,mägo de oz,3k5xCSWc2ZQHbo9Q4qCbuu,2012,9999,0
97,como hay gente en la calle,gilberto santa rosa,2t1IE5yeXixDI1JYAozn3E,2012,9999,0
98,"carry on (from ""신의""), pt. 1. - original television soundtrack",ali,0I23z1h4DwfiOBrOUvPBcM,2012,9999,0
99,i just don't know what to say,john hiatt,5FCITmvn9g1LGI7KXi8aUE,2012,9999,0
100,binaural beats,binaural beats recordings,2kz1Hw1lfUvETZBbSHHKLD,2012,9999,0
101,en las cumbres de malltrata,los saylors,3g63ARFtgnu4hDRCcklCuY,2012,9999,0
102,не. соблазняй. небо - remix,sаботаж,6wlt8kitur7u3k6c5dVFpQ,2012,9999,0
103,levántate ya,"jose ""papo"" rivera",2ijrChHqw2BqiqIalNNWlM,2012,9999,0
104,leave no doubt,mindset,5MllNI9DQ7kICQ4YHNOExm,2012,9999,0
105,nice things,the menzingers,0b5v7cgizvfM1qZRiYTjyY,2012,9999,0
106,y llegaste tú,"jose ""papo"" rivera",0fqFlxRRc1iQ5YBufnI57v,2012,9999,0
107,an old stone the lord rolled away,mark bishop,5ohfAvWutZcUak7ARusTc1,2012,9999,0
108,she's leaving,rascal flatts,3gQ963XqGoPvU2NLHSH5XO,2012,9999,0
109,my kinda girl,chickenfoot,3OxToE3F5ExgYeTgK3Vy1B,2012,9999,0
110,pegasus,muzz,4mtbQXkBggaBgyvdDm9xkf,2012,9999,0
111,non t' amo piu',katia ricciarelli,50ZI3pqmzAfy4jBRcPKo9i,2012,9999,0
112,gotas de amor - ao vivo,maria cecília & rodolfo,7c4lxc3G6WwO695x9N5qIA,2012,9999,0
113,being a dad,kenn kington,4qlEohl5kEID41v4OqeUah,2012,9999,0
114,the shallow streams of summer,death party uk,2K4wZsKJZGbiRXqUh7DROs,2012,9999,0
115,in svarta,arckanum,5EH4qIg08nLPWtFK8zeH9D,2012,9999,0
116,plano marmita,dillo,1O3ufFIePeL1sAF9pYmkT5,2012,9999,0
117,mám v p... na lehátku,horkýže slíže,4UblvwKwd4yADj30OP9oib,2012,9999,0
118,rapaz de bem,kenny barron,2uLDVVfQvF16JryvGutU2Y,2012,9999,0
119,so long,broadway project,0WYbmOb52HCBb4XOfyPASz,2012,9999,0
120,wherever i may roam,yashin,5ASJ1ZPdhapL1ITCq6vj4a,2012,9999,0
121,avila (oscar's song),ernest ranglin,2EXbSGRng4ZH7tAOsXy5B1,2012,9999,0
122,gente humilde - ao vivo,luiz melodia,7vKwKARlHvE0G1wPMwTE27,2012,9999,0
123,chill pill - arveene & misk rerub,splitloop,3l4VasyYGNY1p8KjWp7pz9,2012,9999,0
124,time will tell,andy moor,7ARNsVQ50M5lS4y27ZjsEE,2012,9999,0
125,somebody to love - cover of justin bieber song,glee cast,2RFwTXiz1yLjnGv52R0JzD,2012,9999,0
126,because the night - breeze & chris unknown remix,cascada,4bBnqBJpzloG76f3350rqB,2012,9999,0
127,thee end,those poor bastards,0mkZXvSwObgco2jqr4VoY1,2012,9999,0
128,all i have left is you,the offspring,2zCvytHUzL3CkeSlfrfLYI,2012,9999,0
129,thirumal nam perumal,unnikrishnan,1gN3pxQ9N0eeudXLe62d8r,2012,9999,0
130,雨夜的浪漫,alan tam,3ZgULDlvF6rst8Ur6pxBv4,2012,9999,0
131,lucky guy - japanese version,kim hyun joong,5NIkA1GWNuNSe66lTPmbhK,2012,9999,0
132,the imam,sun city girls,4TvfyUd5Yhvm7dHohH2T72,2012,9999,0
133,friday,rascal flatts,4HasZnsHNOXYGBCyKqWBgT,2012,9999,0
134,no more than a soaked plank,yellow eyes,2vg8nKSEZjVHKcH4cc3fWz,2012,9999,0
135,muñeca de trapo - directo mexico,la oreja de van gogh,3HmjYeaiWUQfd8SmOpnSD3,2012,9999,0
136,morenita,upa dance,39x2OobIyw3TgcO7PX9TT5,2012,9999,0
137,criminal element,capitalist casualties,5r7QWtAoyLWH6UxMvIvhpg,2012,9999,0
138,the cruise,ross couch,3KxZEmAtclObfITvCIzFr8,2012,9999,0
139,"maybach curtains (feat. nas, john legend & rick ross)",meek mill,4KozGhbYbcVPTJN2XhAAng,2012,9999,0
140,낮과 밤 (love all),t-ara,1k8hwiMPSE6y03UZcerUJb,2012,9999,0
141,preservation bias,linea aspera,1rDVaaK71S83I9cpQR2aKl,2012,9999,0
142,adan y eva,orquesta colon,5RnhcAnuWSGB6yLJqRnsvx,2012,9999,0
143,stay awake,órla fallon,173pPsLaP2VHEmlWI5Ng0w,2012,9999,0
144,mohawk - alternate,drug church,0BVgRLElPtf84pa987XDgt,2012,9999,0
145,0419,apink,6IskvnFApUPnNRwkfnx25e,2012,9999,0
146,鋼鐵男子 - live,wu bai,6p7q5X6caMxNGS6vFgJw6K,2012,9999,0
147,zero,vessel,676JpECdxe46B2OG5omMet,2012,9999,0
148,rod jane and freddy's total noise annihilation,metal duck,271h5fNeWq7E1jgAnlATAh,2012,9999,0
149,the dwarf lords - bonus track,howard shore,1dxIolWHHofTz5qGfrIK4I,2012,9999,0
150,flying saucers rock and roll,billy lee riley,5mif5BuwDD9yCZrWc9Bnxe,2012,9999,0
151,i love you so,alan tam,0OKNtazbbQn2Mrldn9Owyy,2012,9999,0
152,divina mujer,los muchachos de antes,2U3WzlmamywWhaREHxedig,2012,9999,0
