name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb,is_pop,length (total sec),tempo,loudness,scale,key (num),camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe
the smell of old books,windy & carl,24mM89tHfznLkf9hN5K2vt,2012,9999,0,1,444,116,-13,Major,7,9B,3,17,31,93,97,11,5
trippy,mindchatter,5wCT8PLpvSkRo867tmnNaE,2019,9999,0,1,171,96,-12,Major,0,8B,42,88,26,39,54,9,7
where are my eyes,johnnascus,0YAoW6gGSOocIhH1VWRKKf,2019,9999,0,1,233,155,-10,Minor,9,8A,29,52,48,69,0,10,3
what comes after certainty,bill callahan,3sSfpC7N0UC5GeaqwquTMq,2019,9999,0,1,222,177,-18,Major,0,8B,30,46,16,96,58,11,4
unconscious,luz,0vmJNBEONtgEAAlTCKpQ6l,2018,9999,0,1,258,121,-19,Major,10,6B,43,40,13,96,0,7,4
complètement sonné,keblack,4bZOVCf1wiNELuCH34rFDl,2018,9999,0,1,185,107,-6,Minor,0,5A,73,81,68,14,0,12,7
esquema que fala né - ao vivo,felipe araújo,2DSFpF8de2fh4tF1wViKCJ,2018,9999,0,1,149,116,-5,Major,0,8B,60,66,76,46,0,24,3
firelight,within temptation,6SBsz6LQiheyXODFQQhF4k,2018,9999,0,1,286,107,-6,Major,0,8B,31,45,72,21,0,8,4
let you go - le youth remix,morgan page,0J03molOnr4YYy4Qw0eAVL,2018,9999,0,1,165,118,-5,Minor,1,12A,64,72,77,11,1,50,10
slutat bry mig,bergenwall,6WRGei530V8U7NMxcS5cQ7,2019,9999,0,1,152,124,-7,Major,9,11B,91,83,43,37,0,16,11
alone in a room - acoustic version,asking alexandria,6mIJduWSbKjqZ9bwrF2p2T,2019,9999,0,1,265,113,-5,Minor,6,11A,36,51,58,80,0,10,3
make a promise (feat. elle vee),culture code,7kCgycosmwcfZJmbXRseEa,2019,9999,0,1,295,176,-6,Major,2,10B,28,44,61,33,0,14,4
fading echoes,andrew rayel,0T0i8GSD6P8tAOpl3YsJW1,2014,9999,0,1,240,134,-7,Major,6,2B,4,53,67,2,74,13,3
oba adeyinka oyekan,kwam 1,3zbCPqT4m6kyrWKNCeJBit,2013,9999,0,1,613,157,-9,Minor,9,8A,72,60,91,15,2,33,13
"muthamma muthamma (from ""azhagar malai"")",madhu balakrishnan,2op9b10spaggJFbqRG3c1P,2013,9999,0,1,269,127,-6,Minor,10,3A,58,85,69,22,0,11,5
save rock and roll,fall out boy,0XJDfLHO7C6b0GpjeB5mpu,2013,9999,0,1,281,145,-6,Major,9,11B,45,56,78,8,0,10,6
places,the babies,7BvKdb4MhAHYvy4dwQ5zMu,2012,9999,0,1,119,95,-7,Major,11,1B,69,47,79,11,0,22,3
if she's the one,loreen,1EBfQiwUBepzIQBpqZjuew,2012,9999,0,1,242,122,-9,Minor,0,5A,19,37,64,6,0,18,6
ishq wala love,vishal-shekhar,1hQia6rxgfM1ly2hE3StWp,2012,9999,0,1,257,135,-12,Minor,0,5A,69,71,30,53,0,8,3
in my dreams,military wives,1CkuUB2PFw8osnjukpJeDF,2012,9999,0,1,197,109,-12,Major,11,1B,17,21,24,86,0,11,3
tell me (feat. daniela andrade) - original mix,dabin,3WrXR8Lnqv3S5HY6C7HpL0,2012,9999,0,1,248,140,-5,Minor,5,4A,8,48,87,0,5,23,4
keep pushing me,gabrielle aplin,0dt4CRRsWhEsgkgYNWMsh5,2012,9999,0,1,192,117,-9,Minor,1,12A,40,48,79,40,0,11,5
cowboy,zeds dead,58Oz8L52jHmklxUDLWvQ0T,2012,9999,0,1,265,88,-5,Major,2,10B,37,52,72,1,0,37,7
breathing underwater,metric,1KZjU7csKHOLRiRPBWZIJS,2012,9999,0,1,236,141,-5,Minor,11,10A,17,42,93,0,6,36,7
stay close,flume,4mgj4czwvkvRyuTD7Fyy0l,2012,9999,0,1,176,90,-6,Major,5,7B,29,51,49,1,1,28,3
sleeping song,pink lincolns,6Ozt2lFtENwNEkdTygR6k7,2012,9999,0,1,180,175,-6,Major,0,8B,40,26,91,1,0,87,27
the fall,the weeknd,1oi2i4PEK3VzYILRBd77UT,2012,9999,0,1,345,75,-7,Major,1,3B,18,46,69,25,0,63,5
we are fine,sharon van etten,2wqWfGrPq6mqnrTlWen3XW,2012,9999,0,1,229,108,-9,Major,0,8B,10,43,32,63,1,10,3
mogathirai,santhosh narayanan,4z5aoK0yI5kgbikXoWLWfB,2012,9999,0,1,227,200,-9,Minor,6,11A,50,52,26,64,0,10,4
i wonder,meiko,4Dv7aZodtvtLR93MycyOls,2012,9999,0,1,216,180,-8,Minor,9,8A,58,60,35,23,0,11,5
la vida es de los que arriesgan - loquillo en madrid,loquillo,2jgY51iPS8LQnW5Qaob5H8,2012,9999,0,1,232,91,-8,Major,9,11B,50,51,82,2,0,95,11
s,sid,4w9gDefRkzWJENvzMGw2om,2012,9999,0,1,207,106,-4,Major,4,12B,53,52,97,0,0,7,9
with ur love,cher lloyd,0QSQSRLBSYgB34WcEpicFP,2012,9999,0,1,203,170,-3,Major,4,12B,69,55,83,1,0,16,4
year of summer,wildstylez,5QM1J23EeWRooSIpAoLQ88,2012,9999,0,1,232,150,-6,Minor,9,8A,53,61,88,17,1,8,5
レーザービーム,perfume,2g6B1ODIdELxpEuEyEvkje,2012,9999,0,1,209,135,-1,Minor,0,5A,97,64,97,1,1,17,3
firewood,regina spektor,4jUQuhSLehLJucHfos6vIg,2012,9999,0,1,291,105,-13,Major,1,3B,18,50,13,94,0,10,4
bring you down,flume,4BRq5i9CMo368xNntmsYXV,2012,9999,0,1,278,170,-7,Minor,4,9A,14,44,63,24,12,36,3
the fusion (mix cut) - armin van buuren's intro mix,omnia,7b1ekdJfLvt4yMTLXorkIZ,2012,9999,0,1,347,130,-7,Major,8,4B,11,65,80,0,3,8,5
island queen,hiraidai,1WsnmHCXCovakZlewDZs68,2012,9999,0,1,282,168,-3,Major,9,11B,85,51,95,14,0,47,10
you & i (feat. donna lewis) - radio edit,project 46,0EFW8L9cItF5hwYTHBg25D,2012,9999,0,1,183,127,-6,Major,1,3B,18,59,87,3,3,5,5
handlake village,takida,5tAt6sDgOAHgWDxJJH8qi9,2012,9999,0,1,259,76,-5,Minor,2,7A,29,58,87,0,0,12,4
neither here nor there,throwback suburbia,57orh4ZAXuV4EnsgQtK6ui,2012,9999,0,1,240,134,-6,Major,7,9B,17,38,66,0,0,21,3
remember me,daley,5hwIzbsza8V1JFNeiu4HcQ,2012,9999,0,1,188,98,-7,Minor,10,3A,64,80,65,8,0,38,5
love you when i'm drunk,mika,62tH3Zbrh8ClnMqHSzLxrI,2012,9999,0,1,172,132,-4,Major,0,8B,92,66,86,14,0,33,5
see no evil,the game,0ndpJtfKGuGM3pyNwnwSUx,2012,9999,0,1,284,157,-9,Major,9,11B,7,49,44,56,0,15,28
planeta terra de jesus - live,dd junior,1MCmSpF5meimMvrQebykLb,2012,9999,0,1,247,135,-7,Major,9,11B,81,69,83,46,0,23,4
envole-moi,m. pokora,5LAVJ4WWYYw5VPGOG1cTj0,2012,9999,0,1,186,112,-2,Major,7,9B,73,65,88,3,0,43,5
so hard to breathe,b.o.b,4OrFAv42BnEqsJCh8wxlrR,2012,9999,0,1,261,85,-5,Minor,11,10A,38,54,82,2,0,21,7
我想唱歌,stephanie cheng,2PgOEeVHcpx3xHYIrdnTjE,2012,9999,0,1,222,125,-5,Minor,1,12A,73,78,79,30,0,21,3
even on the worst nights,mixtapes,5S742al46UOHTJl6bFLuw7,2012,9999,0,1,175,132,-3,Major,9,11B,75,69,92,2,0,61,5
abc,glee cast,4tEP4qGKNaleLmrlZhbh9O,2012,9999,0,1,174,99,-3,Minor,1,12A,77,75,95,16,0,35,8
physical memory,oneohtrix point never,2ltRtBMqu0Ca2mtmRsvsdC,2012,9999,0,1,653,89,-6,Major,5,7B,4,9,75,78,74,44,8
jealousy - live,priscilla chan,5r2RNGUrSmAli6Cm5vNXtN,2012,9999,0,1,238,160,-10,Minor,11,10A,39,27,57,71,0,38,5
that wasn't me,brandi carlile,6iqAJh3X8bf94eo4reme5L,2012,9999,0,1,222,135,-7,Major,9,11B,25,54,33,79,0,9,4
be ma girl,teen top,2YcEIRw6dhdtAwg1E1dNky,2012,9999,0,1,198,130,-3,Major,9,11B,85,70,86,2,0,7,4
