name,artist,spt_id,release_year,length_sec,tempo,loudness,scale,key_num,camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,lyric,is_bb,cv_fold
bouncin (feat. offset),kiana ledé,1YWnrz4pqjtt2zlEOuDIFg,2019,172,101,-8,Major,8,4B,77,94,56,15,0,10,31,rrrr somethin my bodys sayin somethin im underwater drownin i know that i aint trippin cant leave without it bounce then ill take you to my house and ill show you all around it yeah we could keep it bouncin yeah we could keep it i dont know if you could deal with it ayy whip it up and make a meal with ayy aint nobody gettin real with it ayy freak it up break it down break it down down ooh what am i seein right now ooh lookin so good with the lights out i dont know you but i want to yeah put a move on it i like that if you want it you could reel it in show me what you got and we dont gotta talk bout it oh yeah somethin my bodys sayin somethin im underwater drownin i know that i aint trippin cant live without it woo bounce then ill take you to my house and woo woo woo woo ill show you all around it yeah we could keep it bouncin yeah we could keep it woo woo woo woo offset im drownin in water drown got diamonds up on your water splash this birkin a quarter hop on jets across the border jet throw it down like a tortoise tortoise you took it back i support it bad i was sleep in the bando no power windows were boarded no i get mad in my feelings mad i go to music recordin mad my wife is the baddest she not a dime she a quarter she bad i go get the bag its for my two sons and two daughters who bounce it then back it and pop that shit with no order hey i done fell for a bad one fell better than the last one yeah ima beat it nail her to the wall like a plasma beat it pull up in the fall droppin jaw diamonds dancin really from the nawf i might golf at the mansion nawf summertime in the drop top or a phantom drop top this gon be your favorite song bounce it to the anthem i done ran this money up somethin i didnt imagine hey who you and me together we make magic somethin my bodys sayin somethin hey im underwater drownin drip i know that i aint trippin drown cant live without it woo bounce then ill take you to my house and woo woo woo woo ill show you all around it bounce yeah we could keep it bouncin woo woo woo woo woo woo yeah we could keep it she got a way to take your world and turn it sideways im used to gettin what i want i like it my way she bad hit em like a landslide woo never make it rain make it pour make it go left right left right feelin like i should let you know hey somethin my bodys sayin somethin hey im underwater drownin drip i know that i aint trippin drown cant leave without it woo bounce then ill take you to my house and woo what woo woo ill show you all around it yeah we could keep it woo woo one two three finished woo woo woo,0,0
i want to believe,wish i was,4sXVKledC80goCcwbSgKX3,2016,238,122,-8,Major,6,2B,14,67,50,14,0,13,4,in and out of love with all the chemicals i wanna believe that theres a reason were still here underneath the truth were only criminals watching the fire burn until it disappears and now its gone in and out of love with all the chemicals i wanna believe that theres a reason were still here underneath the truth were only criminals watching the fire burn until it disappears and now its gone underneath the truth were only criminals watching the fire burn until it disappears and now its gone in and out of love with all the chemicals i wanna believe that theres a reason were still here and now its gone,0,1
beg,leon thomas,3lRXoxtNXehoTBFinymrhE,2018,213,136,-5,Major,6,2B,73,74,67,37,0,10,6,damn damn damn damn damn i know said you want the truth so i told you and you tripped out when they grab the keys now you tryna go a dip out you been drinking hennessy and i think that you should stay in baby we can work it out girl im tryna stay patient just dont make me beg beg fuck it ima beg beg got me on my knees dont mind saying please baby ima beg for it kissed you on your neck then you act like you just forgot when you saw me going down and you didnt tell me to stop let have a conversation tongue tied no you cant say shit real talk no bomb fakin i can tell what your body cravin just please dont make me beg beg fuck it ima beg beg got me on my knees dont mind saying please baby ima beg for it oh please dont make me beg oh oh oh beg fuck it ima beg ooooh beg got me on my knees but please fuck it ima beg for it every single time you tell me its the last time so if i let you slide baby its really the last time i dont wanna read your mind i dont wanna find the truth telling me the same old lies always the same excuse its just no use you said you changed but i just want the proof just dont make me beg beg fuck it ima beg beg got me on my knees dont mind saying please baby ima beg for it baby ima beg beg baby ima beg beg baby ima beg baby im baby imbeg beg,0,3
win win,diplo,1V9lZ8vPOAShUDkdm8o7J3,2019,255,124,-5,Major,1,3B,47,74,68,1,5,5,5,i know youre hurting but i can kiss you better and make you feel like im your long lost love bet it was painful and beautiful in the way that makes it hard for you to let it go dim all the lights dry off your eyes have a good time her out of mind dim all the lights and get close to me just for the night we can both be free yeah and thats a winwin give me what i want and i got you tonight yeah and thats a winwin give me what i want and i got you tonight let it go let it go let it go let it go let it go let it go let it go no need to talk it all out if you dont wanna no we can use our lips a million ways just put em right on my body and ill forget bout the world yeah you be my sweet escape dim all the lights dry off your eyes have a good time her out of mind dim all the lights and get close to me just for the night we can both be free yeah and thats a winwin give me what i want and i got you tonight yeah and thats a winwin give me what i want and i got you tonight let it go let it go let it go,0,3
tallahassee,green river ordinance,56IU0nuwzC9IKvVuOy1seD,2016,270,148,-5,Major,4,12B,48,46,87,19,0,33,6,yeah im going back to tallahassee where the wild wind lays besides me and im leaving on sunday morning left my heart in tallahassee come on take me home stood there on the goodbye steps looking for a dice to roll with the world strap to his back oh man thats a heavy load a story thats worth talking bout aint all busted folds its a dream he must decide to lock it up or let it go said im going back to tallahassee where the wild wind lays besides me said im leaving on sunday morning left my heart in tallahassee come on take me home he held that sunshine in his mouth like a longlost promised land where the mornings sweet like clementines and the nights like an old brass band like a river he was rolling got the ticket in his hand now a dreamer must decide when to fly or when to land said im going back to tallahassee where the wild wind lays besides me said im leaving on sunday morning left my heart in tallahassee come on take me home come on take me home if the roof is on fire baby let it burn if the lid is gonna rise i wont be concern no i wont no i wont if the devils gonna come go and tell him come and the skies open wide and i was born to run so im gonna run said im going back to tallahassee where the wild wind lays besides me said im leaving on sunday morning left my heart in tallahassee now am going home lays beside me no there aint no coming back said im leaving on sunday morning left my heart in tallahassee where the wild wind lays besides me said im leaving on sunday morning left my heart in tallahassee,0,0
tqg,karol g & shakira,0DWdj2oZMBFSzRsi2Cvfzf,2023,199,180,-4,Minor,4,9A,61,72,63,67,0,9,28,the girl that said a void can be filled with somebody else is lying to you its like covering a wound with makeup you dont see it but you still feel it you left saying you were over me ayy and you got a new girlfriend what she doesnt know is you auh still watch all of my stories no papi baby what happened werent you doing well ell why are you looking for me you know i dont make any mistakes twice ayy papi tell your new baby that i dont compete for men that she should stop hating cause at least i kept you looking cute seeing you with the new one hurt hurt but im already ready for my own thing i forgot everything that we lived and thats what got you so offended even my life got better youre no longer welcome here i saw what your girlfriend said about me im not even upset i laugh i laugh i dont have time for whomever cant contribute i changed directions making money as if it was a sport ah filling up my account concerts the parking and my passport ayy and reports are saying i look hotter yes now you wanna come back i can tell mmm yeah keep waiting for me cause im an idiot ah you forgot im doing my thing and that la bichota was too good for you baby what happened happened werent you doing well ah why are you looking for me ayy you know i dont make any mistakes twice ayy papi tell your new baby that i dont compete for men that she should stop hating cause at least i kept you looking cute shakira shakira you left and i got triple m more hot more toned more chill go back to you never you were bad luck because now blessings rain down on me and you want to come back i saw it coming liking my photo you were looking for food on the outside and i used to say it was the monotony and now you want to come back i saw it coming liking my photo mine you look happy with your new life but if only she knew you still look for me baby what happened happened werent you doing great ah why are you looking for me ayy you know i dont make any mistakes twice tell your new baby that i dont compete for men shake that ass that she doesnt have a good hand and at least i kept you looking cute ooovy on the drums my love you got too far away and i cant see from afar baby i love you but i was too good for you hahaha barranquilla medallo,1,0
strawberry mansion - from exile,the menzingers,03N17n4DMS9OzudqKQxdba,2020,185,133,-3,Major,1,3B,87,65,90,2,0,26,3,hurtlin towards the earth set the atmosphere on fire and then well put another notch in the kuiper climb down from the trees to die from a disease brought back from the dead by the liars i dont mind ill stay behind transmission in static the silent monastic exiled to an island of plastic waiting on translation the fools coronation a permanent summer vacation i dont mind ill stay behind set a course for the sun to bittersweet oblivion the time has come and the rain is gone back to hell where we belong the gamеs weve been playin the rеal estate is changin the mountains and rivers to lake beds concrete to dust iron to rusted statues reign over the ocean i dont mind ill stay behind set a course for the sun to bittersweet oblivion the time has come the rain is gone back to hell where we belong set a course for the sun to bittersweet oblivion the time has come the rain is gone back to hell where we belong,0,4
blinking pigs,little dragon,4IIknmEvthSXJInYkVNLDP,2014,218,142,-6,Major,7,9B,15,67,80,6,3,8,3,phantom legs and blinking pigs haunting me my long lost love and the memories of you these nights are haunting me i dont want to run i dont want to leave now that youre standing closer i dont want to run i dont want to leave was a distant moan and a smell of home haunting me from the clouds above and a memory of you oh these nights are haunting me i dont want to run i dont want to leave now that youre standing closer i dont want to run i dont want to leave oh these nights are haunting me i dont want to run i dont want to leave now that youre standing closer i dont want to run i dont want to leave,0,2
mamushi (feat. yuki chiba),"megan thee stallion, 千葉雄喜",5b3XJ1pjrHO5JtY2PcTjnI,2024,156,81,-5,Major,1,3B,21,89,53,3,0,8,21,koshy atsuu i am a star star megan thee stallion ah yuki chiba i get money im a star star star star star star star i get money im a star star star star star star star we earn money were stars i earn money im a star star star star star sparkling i am a star real hot girl shit he knows who i am aint had to say my name stack it up like tetris but this money aint a game im cute got a nice body drinkin out the bottle gettin twisted maruchan big exotic hermes this a croc watch too expensive aint no way im gettin clocked i think im so sexy every shirt i own is cropped so many karats diamonds do the bunny hop ah in the us or japan if he meet me he gon bow i got yеn for your friends if theyre prеtty bring em out goin dumb in madam woo pourin sake in their mouth told him put me on his plate bring them chopsticks to the south i get money im a star star star star star star star i get money im a star star star star star star star we earn money were stars i earn money im a star star star star star sparkling i am a star where are the flowing stars heading living while granting wishes once again singing with jewelry on the stars gathered in the studio night after night lots of alcohol at the hideout just finished recording on the radio in roppongi then off to do tv shoots cameras chasing after us on ladders love the shiny diamonds they shine in the dark every night greeting with a nice to meet you im so happy grateful i get money im a star star star star star star star i get money im a star star star star star star star we earn money were stars i earn money im a star star star star star sparkling i am a star,0,0
wild dogs (running in a slow dream),matchbox twenty,3jK53bWJDGzbTbqaBayfBB,2023,210,175,-6,Major,4,12B,86,56,82,1,0,8,16,we were eyes wide open when the world got dark dancin to the rhythm that felt so hard you could feel it you could feel it and blood ice cold baby racin through my veins chasing down a feeling that i cant explain but i need it yeah i need it and the wild dogs callin from the other side come on over we could run all night woohoo hoohoo and the world just stops but the night goes on and the strangest sound like a wave that keeps on crashing over me and when you hear it callin out underneath your window theres a world outside thats waiting saying come on come on come on we got a restless feeling and in a world of people theres only you and me wild dogs runnin in a slow dream ohwhoa wild dogs runnin in a slow dream we would crash hard fallin like a waterfall slow sweat dancin in the music hall we were shinin yeah we were tryin got a slow start rollin we were pickin up steam all time low its a small town scene on the big screen mhm and the world just stops but the night goes on and the strangest sound like the waves that keep on crashing over me so when you hear it callin out underneath your window theres a world outside thats waiting saying come on come on come on we got a restless feeling and in a world of people theres only you and me the wild dogs runnin in a slow dream hoohoo and if we get lost somewhere god i hope we never will be found cause everybody elses small town dreams are crashing over me and when you hear it callin out underneath your window theres a world outside thats waiting saying come on come on come on we got a restless feeling and in a world of people theres only you and me wild dogs runnin in a slow dream ohwhoa wild dogs runnin in a slow dream ohwhoa yeah wild dogs runnin in a slow dream hoohoo hoohoo hoohoo hoohoo,0,2
