draft99_name,draft99_artist,draft99_genre,draft99_daneceability,draft99_energy,draft99_key,draft99_loudness,draft99_mode,draft99_speechiness,draft99_acousticness,draft99_instrumentalness,draft99_liveness,draft99_valence,draft99_tempo,draft99_pop,draft99_spotify_id,draft99_release_date,draft99_year,draft99_lyric
It's My Life,No Doubt,"rock, pop",0.612,0.735,8.0,-5.074,0.0,0.0282,0.00202,0.00118,0.328,0.783,126.326,1,44u52jALuPgpczTbZuRWHM,2024-04-26,2024,"its funny how i find myself
in love with you
if i could buy my reasoning
id pay to lose
one half wont do
ive asked myself
how much do you
commit yourself
oh its my life
dont you forget
its my life
it never ends it never ends
funny how i blind myself
i never knew
i was sometimes played upon
afraid to lose
oh id tell myself
what good do you do
convince myself
its my life
dont you forget
oh its my life
it never ends it never ends
and ive asked myself
how much do you
commit yourself
oh its my life
dont you forget
caught in the crowd
it never ends it never ends
its my life
dont you forget
caught in the crowd
it never ends it never ends
oh its my life oh its my life
dont you forget dont you forget
caught in the crowd caught in the crowd
it never ends it never ends"
Back To December,Taylor Swift,pop,0.529,0.67,2.0,-4.663,1.0,0.0303,0.117,0.0,0.334,0.286,141.893,1,79uDOz0zuuWS7HWxzMmTa2,2023-07-07,2023,"im so glad you made time to see me
hows life tell me hows your family
i havent seen them in a while
youve been good busier than ever
we small talk work and the weather
your guard is up and i know why
because the last time you saw me
is still burned in the back of your mind
you gave me roses and i left them there to die
so this is me swallowing my pride
standin in front of you sayin im sorry for that night
and i go back to december all the time
it turns out freedom aint nothing but missin you
wishin id realized what i had when you were mine
i go back to december turn around and make it alright
i go back to december all the time
these days i havent been sleeping
stayin up playing back myself leavin
when your birthday passed and i didnt call
then i think about summer all the beautiful times
i watched you laughing from the passenger side
and realized i loved you in the fall
and then the cold came the dark days
when fear crept into my mind
you gave me all your love and all i gave you was goodbye
so this is me swallowing my pride
standin in front of you sayin im sorry for that night
and i go back to december all the time
it turns out freedom aint nothing but missin you
wishin id realized what i had when you were mine
i go back to december turn around and change my own mind
i go back to december all the time
i miss your tanned skin your sweet smile
so good to me so right
and how you held me in your arms that september night
the first time you ever saw me cry
maybe this is wishful thinkin
probably mindless dreaming
but if we loved again i swear id love you right
id go back in time and change it but i cant
so if the chain is on your door i understand
but this is me swallowing my pride
standin in front of you sayin im sorry for that night
and i go back to december
it turns out freedom aint nothing but missin you
wishin id realized what i had when you were mine
i go back to december turn around and make it alright
i go back to december turn around and change my own mind
i go back to december all the time
all the time"
Impossible,James Arthur,pop,0.376,0.695,0.0,-4.782,0.0,0.0933,0.135,0.0,0.11,0.302,169.533,1,5yVIlYEHZxQVLyInCdldoS,2013-11-04,2013,"mmmhmm mm
i remember years ago
someone told me i should take
caution when it comes to love i did
and you were strong and i was not
my illusion my mistake
i was careless i forgot i did
and now
when all is done there is nothing to say
you have gone and so effortlessly
you have won you can go ahead tell them
tell them all i know now
shout it from the rooftops
write it on the skyline
all we had is gone now
tell them i was happy
and my heart is broken
all my scars are open
tell them what i hoped would be
impossible impossible
impossible impossible
falling out of love is hard
falling for betrayal is worse
broken trust and broken hearts i know i know
thinking all you need is there
building faith on love and words
empty promises will wear i know
i know and now
when all is done there is nothing to say
and if youre done with embarrassing me
on your own you can go ahead tell them
tell them all i know now
shout it from the rooftops
write it on the skyline
all we had is gone now
tell them i was happy
and my heart is broken
all my scars are open
tell them what i hoped would be
impossible impossible
impossible impossible
i remember years ago
someone told me i should take
caution when it comes to love i did
tell them all i know now
shout it from the rooftops
write it on the skyline
all we had is gone now
tell them i was happy
and my heart is broken
hoped would be
impossible impossible impossible impossible
impossible impossible
impossible impossible impossible impossible
impossible impossible"
I Knew You Were Trouble.,Taylor Swift,pop,0.622,0.469,3.0,-6.798,0.0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,1,6FB3v4YcR57y4tXFcdxI1E,2012-10-22,2012,"once upon a time a few mistakes ago
i was in your sights you got me alone
you found me you found me
you found meeeee
i guess you didnt care and i guess i liked that
and when i fell hard you took a step back
without me without me
without meeeee
and hes long gone when hes next to me
and i realize the blame is on me
cause i knew you were trouble when you walked in
so shame on me now
flew me to places id never been
til you put me down oh
i knew you were trouble when you walked in
so shame on me now
flew me to places id never been
now im lying on the cold hard ground
oh ohoh
trouble trouble trouble
oh ohoh
trouble trouble trouble
no apologies hell never see you cry
pretends he doesnt know that hes the reason why
youre drowning youre drowning
youre drowninginginginging
and i heard you moved on from whispers on the street
a new notch in your belt is all ill ever be
and now i see now i see
now i seeeeee
he was long gone when he met me
and i realize the joke is on me yeah
i knew you were trouble when you walked in oh
so shame on me now
flew me to places id never been
til you put me down oh
i knew you were trouble when you walked in
so shame on me now
flew me to places id never been yeah
now im lying on the cold hard ground
oh ohoh
trouble trouble trouble yeah trouble
oh ohoh
trouble trouble trouble
and the saddest fear
comes creeping in
that you never loved me
or her or anyone or anything yeah
i knew you were trouble when you walked in
so shame on me now
flew me to places id never been never been
til you put me down oh
i knew you were trouble when you walked in knew it right there
so shame on me now knew it right there
flew me to places id never been ooh
now im lying on the cold hard ground
oh ohoh
trouble trouble trouble oh
oh ohoh
trouble trouble trouble
i knew you were trouble when you walked in
trouble trouble trouble
i knew you were trouble when you walked in
trouble trouble trouble"
As Long As You Love Me,Justin Bieber,pop,0.571,0.873,0.0,-3.382,0.0,0.1,0.0811,0.0,0.361,0.613,139.691,1,75lo8VozcCLRG9WGG674iD,2012-01-01,2012,"as long as you love me
as long as you love me
as long as you love me
were under pressure
seven billion people in the world tryna fit in
keep it together
smile on your face even though your heart is frowning
but hey now hey now you know girl you know girl
we both know its a cruel world
but i will take my chances
as long as you love me
we could be starving we could be homeless we could be broke
as long as you love me
ill be your platinum ill be your silver ill be your gold
as long as you love me love me
as long as you love me love me
ill be your soldier
fighting every second of the day for your dreams girl
ill be your hova
you could be my destinys child on the scene girl
so dont stress dont stress and dont cry and dont cry
oh we dont need no wings to fly
just take take my hand
as long as you love me
we could be starving we could be homeless we could be broke
as long as you love me
ill be your platinum ill be your silver ill be your gold
as long as you love me love me
as long as you love me love me
woah woah big
i dont know if this makes sense but youre my hallelujah
give me a time and place ill rendezvous it ill fly you to it ill beat you there
girl you know i got you
us trust a couple things i cant spell without u
now we on top of the world world cause thats just how we do do it
used to tell me skys the limit now the skys our point of view
man we stepping out like woah oh god
cameras point and shoot shoot
ask me whats my best side i stand back and point at you you you
the one that i argue with feel like i need a new girl to be bothered with
but the grass aint always greener on the other side
its green where you water it
so i know we got issues baby true true true
but id rather work on this with you
than to go ahead and start with someone new
as long as you love me
as long as you love me yeah yeah baby
we could be starving we could be homeless we could be broke
as long as you love me
ill be your platinum platinum ill be your silver ill be your gold
as long as you love me
as long as you love me
as long as you love me ill be your silver ill be your gold
as long as you love me you love me you love me its all i want baby
as long as you love me you love me please dont go
as long as you love me as long as you love me
as long as you love me yeah
as long as you love me"
What Makes You Beautiful,One Direction,pop,0.726,0.787,4.0,-2.494,1.0,0.0737,0.009,0.0,0.0596,0.888,124.99,1,4cluDES4hQEUhmXj6TXkSo,2012-05-25,2012,"youre insecure dont know what for
youre turnin heads when you walk through the door
dont need makeup to cover up huh
bein the way that you are is enough
everyone else in the room can see it
everyone else but you
baby you light up my world like nobody else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful
if only you saw what i can see
youll understand why i want you so desperately
right now im looking at you and i cant believe
you dont know ohoh you dont know youre beautiful ohoh
thats what makes you beautiful
so ccome on you got it wrong
to prove im right i put it in a song
i dont know why youre being shy
and turn away when i look into your eyes
everyone else in the room can see it
everyone else but you
baby you light up my world like nobody else body else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful oh
if only you saw what i can see
youll understand why i want you so desperately
right now im looking at you and i cant believe
you dont know ohoh you dont know youre beautiful ohoh
thats what makes you beautiful
na nanana nanana na na
na nanana nana
na nanana nanana na na
na nanana nana
baby you light up my world like nobody else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful
baby you light up my world like nobody else light up my world like nobody else
the way that you flip your hair cmon gets me overwhelmed
but when you smile at the ground smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful oh woah
if only you saw what i can see
youll understand why i want you so desperately desperately
right now im looking at you and i cant believe
you dont know dont know ohoh you dont know youre beautiful ohoh
you dont know youre beautiful ohoh
thats what makes you beautiful"
Ride,Lana Del Rey,pop,0.373,0.686,0.0,-5.52,1.0,0.034,0.128,1.96e-06,0.383,0.189,93.763,1,0ZyfiFudK9Si2n2G9RkiWj,2012-01-01,2012,"oohoohoohooh oohoohooh
oohoohoohooh oohoohooh
i been out on that open road
but you can be my fulltime daddy white and gold
singing blues has been gettin old
but you can be my fulltime baby hot or cold
dont break me down dont break me down
i been traveling too long i been traveling too long
i been tryin too hard i been tryin too hard
with one pretty song with one pretty song
i hear the birds on the summer breeze i drive fast
i am alone at midnight
been trying hard not to get into trouble but i
ive got a war in my mind
so i just ride just ride
i just ride i just ride
dying young and playing hard
thats the way my father made his life and art
drink all day and we talk til dark
thats the way the road dogs do it light til dark
dont leave me now dont leave me now
dont say goodbye dont say goodbye
dont turn around dont turn around
leave me high and dry leave me high and dry
i hear the birds on the summer breeze i drive fast
i am alone at midnight
been trying hard not to get into trouble but i
ive got a war in my mind
i just ride just ride
i just ride i just ride
im tired of feeling like im fucking crazy
im tired of driving til i see stars in my eyes
its all ive got to keep myself sane baby
so i just ride i just ride
i hear the birds on the summer breeze i drive fast
i am alone at midnight
been trying hard not to get into trouble but i
ive got a war in my mind
i just ride just ride
i just ride i just ride"
Locked out of Heaven,Bruno Mars,pop,0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994,1,3w3y8KPTfNeOKPiqUTakBh,2012-12-07,2012,"one two one two three
aw yeah yeah
aw yeah yeah yeah yeah uh
aw yeah yeah
aw yeah yeah yeah yeah uh
never had much faith in love or miracles uh
never wanna put my heart on the line uh
but swimmin in your waters somethin spiritual uh
im born again every time you spend the night ight uh
cause your sex takes me to paradise
yeah your sex takes me to paradise
and it shows
yeah yeah yeah
cause you make me feel like
ive been locked outta heaven
for too long
for too long
yeah you make me feel like
ive been locked outta heaven
for too long
for too long
aw yeah yeah yeah yeah uh
aw yeah yeah
aw yeah yeah yeah yeah uh
you bring me to my knees you make me testify uh
you can make a sinner change his ways uh
open up your gates cause i cant wait to see the light uh
and right there is where i wanna stay ay uh
cause your sex takes me to paradise
yeah your sex takes me to paradise
and it shows
yeah yeah yeah
cause you make me feel like
ive been locked outta heaven
for too long
for too long
yeah you make me feel like
ive been locked outta heaven
for too long
for too long
oh woah woah woah
yeah yeah yeah
can i just stay here
spend the rest of my days here
oh woah woah woah
yeah yeah yeah
can i just stay here
spend the rest of my days here
cause you make me feel like
ive been locked outta heaven
for too long
for too long
yeah you make me feel like
ive been locked outta heaven
for too long
for too long
aw yeah yeah yeah yeah uh
aw yeah yeah
aw yeah yeah yeah yeah uh"
Beauty And A Beat,Justin Bieber,pop,0.602,0.843,0.0,-4.831,1.0,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,1,6QFCMUUq1T2Vf5sFUXcuQ7,2012-01-01,2012,"yeah
young money
nicki minaj
justin rrr
show you off
tonight i wanna show you off ayyayyayy
what you got
a billion couldve never bought ayyayyayy
we gonna party like its 3012 tonight
i wanna show you all the finer things in life
so just forget about the world we young tonight
im coming for ya im coming for ya
cause all i need
is a beauty and a beat
who can make my life complete
its all all bout you
when the music makes you move
baby do it like you do
cause all
body rock
girl i can feel your body rock ayyayyayy
take a bow
youre on the hottest ticket now ooh ayyayyayy
we gonna party like its 3012 tonight
i want to show you all the finer things in life
so just forget about the world we young tonight
im coming for ya im coming for ya
cause all i need
is a beauty and a beat
who can make my life complete
its all all bout you
when the music makes you move
baby do it like you do uh uh
cause all
iiiiin time ink lines
bbbitches couldnt get on my incline
world tours iiits mine
ten little letters on a big sign
justin bieber
you know ima hit em with the ether
buns out wiener
but i gotta keep an eye out for selener ow ow
bbbeauty beauty and the beast
beauty from the east
beautiful confessions of the priest
beast beauty from the streets
beat will get deceased
every time beauty on the beat eats
body rock oh yeah yeah yeah yeah
i wanna feel your body rock lets go lets go frrrrr yeah
cause all i need all i need is love
is a beauty and a beat
who can make my life complete ohohohohoh
its all bout you all i need is you
when the music makes you move
baby do it like you do do
cause all"
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,pop,0.572,0.81,1.0,-5.791,0.0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,1,6PUIzlqotEmPuBfjbwYWOB,2013-02-01,2013,
One Way or Another (Teenage Kicks),One Direction,pop,0.489,0.867,4.0,-3.121,0.0,0.071,0.025,0.0,0.586,0.409,162.131,1,3jZomvOBa5qfTo5HkqI1p5,2013-02-17,2013,"one way or another im gonna find ya
im gonna get ya get ya get ya get ya
one way or another im gonna win ya
im gonna get ya get ya get ya get ya
one way or another im gonna see ya
im gonna meet ya meet ya meet ya meet ya
one day maybe next week
im gonna meet ya im gonna meet ya ill meet ya
i will drive past your house hey
and if the lights are all down hey
ill see whos around lets go
one way or another im gonna find ya
im gonna get ya get ya get ya get ya
one way or another im gonna win ya
ill get ya ill get ya
one way or another im gonna see ya
im gonna meet ya meet ya meet ya meet ya
one day maybe next week
im gonna meet ya ill meet ya
and if the lights are all down hey
ill follow your bus downtown hey
see whos hangin out one two three four
nananananana nanana
nananananana nanana
nananananana nanana
i wanna hold you wanna hold you tight
nananananana nanana
i wanna hold you wanna hold you tight
nananananana nanana
i wanna hold you wanna hold you tight
nananananana nanana
yeah teenage kicks right through the night come on
nananananana nanana
i wanna hold you wanna hold you tight
nananananana nanana
i wanna hold you wanna hold you tight oh yeah
nananananana nanana
i wanna hold you wanna hold you tight
nana
yeah teenage kicks right through the night
one way or another im gonna see ya
im gonna meet meet ya meet ya meet ya
one way or another im gonna win ya
im gonna get ya get ya get ya get ya
one way or another im gonna see ya
i wanna hold you wanna hold you tight
im gonna meet meet ya meet ya meet ya
i wanna hold you wanna hold you tight
one way or another im gonna win ya
i wanna hold you wanna hold you tight
im gonna get ya get ya get ya get ya
i wanna hold you wanna hold you tight
one way or another im gonna see ya
i wanna hold you wanna hold you tight
im gonna meet meet ya meet ya meet ya
i wanna hold you wanna hold you tight
one day or another im gonna win ya
i wanna hold you wanna hold you tight
im gonna get ya get ya get ya get ya
i wanna hold you wanna hold you tight
one way or another"
