name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb
somebody that i used to know,gotye,4wCmqSrbyCgxEXROQE6vtV,2011,2012,1
call me maybe,carly rae jepsen,3TGRqZ0a2l1LRblBkJoaDx,2012,2012,1
we are young,fun,7a86XRg84qjasly9f6bPSD,2012,2012,1
payphone,maroon 5,4P0osvTXoSYZZC2n8IFH3c,2012,2012,1
lights,ellie goulding,11ozIUBoXAgRTVWelDn4pL,2010,2012,1
glad you came,the wanted,5yDL13y5giogKs2fSNf7sj,2011,2012,1
stronger (what doesn't kill you),kelly clarkson,6D60klaHqbCl9ySc8VcRss,2011,2012,1
we found love,rihanna,6qn9YLKt13AGvpq9jfO8py,2011,2012,1
starships,nicki minaj,1oHNvJVbFkexQc0BpQp7Y4,2011,2012,1
what makes you beautiful,one direction,4cluDES4hQEUhmXj6TXkSo,2012,2012,1
wild ones,flo rida,1NpW5kyvO4XrNJ3rnfcNy3,2012,2012,1
set fire to the rain,adele,73CMRj62VK8nUS4ezD2wvi,2011,2012,1
sexy and i know it,lmfao,0obBFrPYkSoBJbvHfUIhkv,2011,2012,1
some nights,fun,6t6oULCRS6hnI7rm0h5gwl,2012,2012,1
wide awake,katy perry,1rUQmXEy41tXwHIKFECNTa,2012,2012,1
good feeling,flo rida,2LEF1A8DOZ9wRYikWgVlZ8,2012,2012,1
whistle,flo rida,3bC1ahPIYt1btJzSSEyyrF,2012,2012,1
one more night,maroon 5,4XNrMwGx1SqP01sqkGTDmo,2012,2012,1
drive by,train,0KAiuUOrLTIkzkpfpn9jb9,2012,2012,1
the motto,drake,4Kz4RdRCceaA9VgTqBhBfa,2011,2012,1
where have you been,rihanna,5WQQIDU3HRaMyPkob8mpFb,2011,2012,1
everybody talks,neon trees,2iUmqdfGZcHIhS3b9E9EWq,2012,2012,1
take care,drake,124NFj84ppZ5pAxTuVQYCQ,2011,2012,1
titanium,david guetta,0lHAMNU8RGiIObScrsRgmP,2011,2012,1
i won't give up,jason mraz,53QF56cjZA9RTuuMZDrSA6,2012,2012,1
it will rain,bruno mars,0RUGuh2uSNFJpGMSsD1F5C,2011,2012,1
mercy,kanye west,4qikXelSRKvoCqFcHLB2H2,2012,2012,1
boyfriend,justin bieber,3UGIZ8qcrMTwzLbx6Kttqt,2012,2012,1
party rock anthem,lmfao,0IkKz2J93C94Ei4BvDop7P,2011,2012,1
too close,alex clare,4sK96UnGx3NjBaqvfTG2dm,2011,2012,1
part of me,katy perry,6yARPLK0PV4heEyh7pVMGz,2012,2012,1
"young, wild & free",snoop dogg,6YbhspuOar1D9WSSnfe7ds,2011,2012,1
we are never ever getting back together,taylor swift,5YqltLsjdqFtvqE7Nrysvs,2021,2012,1
as long as you love me,justin bieber,75lo8VozcCLRG9WGG674iD,2012,2012,1
turn me on,david guetta,6JOlNkT0QdHeZB0wPbI9IR,2011,2012,1
moves like jagger,maroon 5,7LcfRTgAVTs5pQGEQgUEzN,2010,2012,1
blow me (one last kiss),pink,4k80K0b6KZ2QjAYkXON7q6,2012,2012,1
good time,owl city,1kPpge9JDLpcj15qgrPbYX,2012,2012,1
give your heart a break,demi lovato,3sP3c86WFjOzHHnbhhZcLA,2011,2012,1
niggas in paris,jay-z,1auxYwYrFRqZP7t3s7w4um,2011,2012,1
the one that got away,katy perry,6hkOqJ5mE093AQf2lbZnsG,2010,2012,1
feel so close,calvin harris,1gihuPhrLraKYrJMAEONyc,2012,2012,1
someone like you,adele,1zwMYTA5nlNjZxYrvBB2pV,2011,2012,1
scream,usher,12eMQUn2GzfsfsQLH53M19,2012,2012,1
rack city,tyga,7rPLYmabWMobWhoIqZe6rh,2012,2012,1
domino,jessie j,6MAdEUilV2p9RQUqE5bMAK,2011,2012,1
gangnam style,psy,03UrZgTINDqvnUMbbIMhql,2012,2012,1
international love,pitbull,62zFEHfAYl5kdHYOivj4BC,2011,2012,1
home,phillip phillips,1EAgPzRbK9YmdOESSMUm6P,2012,2012,1
without you,david guetta,1tAutlhI9FwnKn7fVgmd5P,2011,2012,1
ass back home,gym class heroes,3bfqkspKABT4pPicm6wC9F,2011,2012,1
wanted,hunter hayes,0p1BcEcYVO3uk4KDf3gzkY,2011,2012,1
drunk on you,luke bryan,3kv6omImmKEfOVJWjstusF,2011,2012,1
no lie,2 chainz,6j9iyrrmqWlQZ5SD1hSTaq,2012,2012,1
want u back,cher lloyd,6E11E0lT5Zy7yb6iT3y8DN,2012,2012,1
don't wake me up,chris brown,18VfHIPaCo0s6FTi1Fnp6T,2012,2012,1
dance (a$$),big sean,3ZAMtgYJFoHwJjFkhkXqKr,2011,2012,1
