kag_master_name,kag_master_artist,kag_master_genre,kag_master_daneceability,kag_master_energy,kag_master_key,kag_master_loudness,kag_master_mode,kag_master_speechiness,kag_master_acousticness,kag_master_instrumentalness,kag_master_liveness,kag_master_valence,kag_master_tempo,kag_master_pop,kag_master_spotify_id,kag_master_release_date,kag_master_year
Fill Me In,Craig David,"hip hop, pop, R&B",0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,1,0UzsDmdpw0Q14KU4hieQss,2000-08-14,2000
"Independent Women, Pt. 1",Destiny's Child,"pop, R&B",0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,1,69XUpOpjzDKcfdxqZebGiI,2001-05-01,2001
Rise,Gabrielle,"pop, R&B",0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-06,0.09,0.631,144.673,1,63nkNgHkmfgjElTEnCzKYU,2001-01-01,2001
Wherever You Will Go,The Calling,pop,0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,1,5QpaGzWp0hwB5faV8dkbAz,2001,2001
A New Day Has Come - Radio Remix,Céline Dion,pop,0.574,0.691,6,-5.103,1,0.035,0.0826,1.65e-05,0.149,0.195,91.969,1,5fkDD7aQLUmMy1EwzNm0ZB,2002-03-22,2002
Spinning Around,Kylie Minogue,"pop, Dance/Electronic",0.761,0.662,6,-7.645,0,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,1,0JcgDliDqDac8iOFFRm7tZ,2000-09-25,2000
Down 4 U,Charli Baltimore,pop,0.64,0.59,7,-7.442,1,0.32,0.252,0.0,0.665,0.519,83.133,1,21iEEekDSvQjVARSQ4dpXY,2002-01-01,2002
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,"hip hop, pop",0.648,0.759,6,-4.315,1,0.306,0.0142,0.0,0.648,0.518,85.996,1,0YImOCkIJ2PWhCXaURCZnY,2002-11-26,2002
Clocks,Coldplay,"rock, pop",0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,1,0BCPKOYdS2jbQ8iyB56Zns,2002-08-27,2002
Work It,Missy Elliott,"hip hop, pop, R&B",0.884,0.677,1,-5.603,1,0.283,0.0778,0.0,0.0732,0.584,101.868,1,3jagJCUbdqhDSPuxP8cAqF,2002-11-12,2002
If You're Not The One,Daniel Bedingfield,pop,0.688,0.538,10,-7.608,1,0.0292,0.504,0.0,0.111,0.27,119.998,1,4gJoAvFpDvaeqm2EKYGmhb,2002-01-01,2002
Suga Suga,Baby Bash,"hip hop, pop, R&B, latin",0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,1,6Nq5lE0CeOAAAqN4qhkbZU,2003-01-01,2003
Too Lost In You,Sugababes,"pop, R&B",0.586,0.705,1,-4.904,0,0.0287,0.0485,0.0,0.15,0.459,98.014,1,2uJPFEVzjo4YHwm9Kod2I3,2003-01-01,2003
It's My Life,No Doubt,"rock, pop",0.612,0.735,8,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326,1,44u52jALuPgpczTbZuRWHM,2024-04-26,2024
White Flag,Dido,pop,0.512,0.525,5,-6.823,1,0.0401,0.327,3.3e-06,0.081,0.294,169.951,1,3adnLFXKO5rC1lhUNSeg3N,2003-09-03,2003
The Way You Move (feat. Sleepy Brown),Outkast,"hip hop, pop",0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,1,5z7mYFfhw6N6f23VwrokJD,2003,2003
