,name,artist,spotify_id,release_date,genres
0,Somebody That I Used to Know,Gotye,1qDrWA6lyx8cLECdZE7TV7,2011-01-01,[]
1,Call Me Maybe,Carly Rae Jepsen,20I6sIOMTCkB6w7ryavxtO,2012-01-01,[]
2,We Are Young,Fun,5rgy6ghBq1eRApCkeUdJXf,2012-02-14,[]
3,Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A,2012-01-01,['pop']
4,Lights,Ellie Goulding,5aTsxlQlq0vIedDWZoqMWN,2010-01-01,[]
5,Glad You Came,The Wanted,5yDL13y5giogKs2fSNf7sj,2011-01-01,[]
6,Stronger (What Doesn't Kill You),Kelly Clarkson,1nInOsHbtotAmEOQhtvnzP,2011-10-24,['christmas']
7,We Found Love,Rihanna,6qn9YLKt13AGvpq9jfO8py,2011-11-18,[]
8,Starships,Nicki Minaj,2EBCVPNAG46nbgs6jXPGvv,2012-01-01,[]
9,What Makes You Beautiful,One Direction,4cluDES4hQEUhmXj6TXkSo,2012-05-25,[]
10,Wild Ones,Flo Rida,1NpW5kyvO4XrNJ3rnfcNy3,2012-06-22,[]
11,Set Fire to the Rain,Adele,3di5hcvxxciiqwMH1jarhY,2011-01-24,['soft pop']
12,Sexy and I Know It,LMFAO,70Vdd1gx5tn84jkAU31ASv,2011-01-01,[]
13,Some Nights,Fun,67WTwafOMgegV6ABnBQxcE,2012-02-14,[]
14,Wide Awake,Katy Perry,1rUQmXEy41tXwHIKFECNTa,2012-01-01,['pop']
15,Good Feeling,Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8,2012-06-22,[]
16,Whistle,Flo Rida,3bC1ahPIYt1btJzSSEyyrF,2012-06-22,[]
17,One More Night,Maroon 5,6cpk00i5TxCqSeqNi2HuIe,2012-01-01,['pop']
18,Drive By,Train,0KAiuUOrLTIkzkpfpn9jb9,2012-04-17,['soft pop']
19,The Motto,Drake,4Kz4RdRCceaA9VgTqBhBfa,2011-11-15,['rap']
20,Where Have You Been,Rihanna,5WQQIDU3HRaMyPkob8mpFb,2011-11-18,[]
21,Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,2012-01-01,[]
22,Take Care,Drake,124NFj84ppZ5pAxTuVQYCQ,2011-11-15,['rap']
23,Titanium,David Guetta,2i1AVZAYLhrQTvzr1hu7Jt,2012-09-10,"['edm', 'dance']"
24,I Won't Give Up,Jason Mraz,5ivF4eQBqJiVL5IAE9jRyl,2012-04-13,"['soft pop', 'acoustic pop']"
25,It Will Rain,Bruno Mars,0M3HkE321xpCbCYqVKzr1q,2011-09-28,[]
26,Mercy,Kanye West,4qikXelSRKvoCqFcHLB2H2,2012-01-01,['rap']
27,Boyfriend,Justin Bieber,3UGIZ8qcrMTwzLbx6Kttqt,2012-01-01,[]
28,Party Rock Anthem,LMFAO,7mitXLIMCflkhZiD34uEQI,2011-01-01,[]
29,Too Close,Alex Clare,5Ot3sE4ra8mF4alEjQmSJz,2019-07-19,[]
30,Part of Me,Katy Perry,6yARPLK0PV4heEyh7pVMGz,2012-01-01,['pop']
31,"Young, Wild & Free",Snoop Dogg,3FNy4yzOhHhFBeA5p4ofoq,2011-10-21,"['g-funk', 'west coast hip hop', 'gangster rap', 'hip hop', 'rap']"
32,We Are Never Ever Getting Back Together,Taylor Swift,5YqltLsjdqFtvqE7Nrysvs,2021-11-12,[]
33,As Long as You Love Me,Justin Bieber,75lo8VozcCLRG9WGG674iD,2012-01-01,[]
34,Turn Me On,David Guetta,6T27IN7Ai94BeDv6PPCmoC,2012-12-07,"['edm', 'dance']"
35,Moves like Jagger,Maroon 5,3TahdwXB4gJRWVAI00Ejqa,2010,['pop']
36,Blow Me (One Last Kiss),Pink,4k80K0b6KZ2QjAYkXON7q6,2012-09-18,[]
37,Good Time,Owl City,1kPpge9JDLpcj15qgrPbYX,2012-08-17,[]
38,Give Your Heart a Break,Demi Lovato,3sP3c86WFjOzHHnbhhZcLA,2011-01-01,[]
39,Niggas in Paris,Jay-Z,1auxYwYrFRqZP7t3s7w4um,2011-08-08,"['hip hop', 'east coast hip hop', 'rap']"
40,The One That Got Away,Katy Perry,2009X8GyWTqyxIdzAEYW6N,2010-01-01,['pop']
41,Feel So Close,Calvin Harris,1gihuPhrLraKYrJMAEONyc,2012-10-29,['edm']
42,Someone like You,Adele,3bNv3VuUOKgrf5hu3YcuRo,2011-01-24,['soft pop']
43,Scream,Usher,12eMQUn2GzfsfsQLH53M19,2012-06-12,['r&b']
44,Rack City,Tyga,7rPLYmabWMobWhoIqZe6rh,2012-01-01,[]
45,Domino,Jessie J,2fQxE0jVrjNMT9oJAXtSJR,2011-01-01,[]
46,Gangnam Style,Psy,03UrZgTINDqvnUMbbIMhql,2012-01-01,['k-pop']
47,International Love,Pitbull,62zFEHfAYl5kdHYOivj4BC,2011-06-17,[]
48,Home,Phillip Phillips,1EAgPzRbK9YmdOESSMUm6P,2012-01-01,['folk pop']
49,Without You,David Guetta,7yoGqWuysO51L9h1fb4vgc,2012-09-10,"['edm', 'dance']"
50,Ass Back Home,Gym Class Heroes,3bfqkspKABT4pPicm6wC9F,2011-11-11,[]
51,Wanted,Hunter Hayes,0f1svjHSiaCJif6noKKVHa,2011,['country']
