rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,rdsg_genres,Audio Feature,Length,Tempo,Loudness,Key,Camelot,Explicit,Popularity,Happiness,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
I Knew You Were Trouble,Taylor Swift,6FB3v4YcR57y4tXFcdxI1E,2012-10-22,[],"Length: 3:39  Tempo: 77 bpm  Loudness: -7 db 
Key: D#/E♭ Minor Camelot: 2A Explicit: Yes
Popularity: 79/100

Happiness: 68/100

Danceability: 62/100

Energy: 47/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 3/100

Speechiness: 4/100",3:39,77,-7,D#/E♭ Minor,2A,Yes,79,68,62,47,0,0,3,4
Stay with Me,Sam Smith,5Nm9ERjJZ5oyfXZTECKmRt,2014-05-26,['soft pop'],"Length: 2:52  Tempo: 84 bpm  Loudness: -6 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 84/100

Happiness: 18/100

Danceability: 42/100

Energy: 42/100

Acousticness: 59/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 4/100",2:52,84,-6,C Major,8B,Yes,84,18,42,42,59,0,11,4
Best Day of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP,2014-01-01,[],"Length: 3:14  Tempo: 100 bpm  Loudness: -2 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 83/100

Happiness: 54/100

Danceability: 67/100

Energy: 90/100

Acousticness: 6/100

Instrumentalness: 0/100

Liveness: 6/100

Speechiness: 3/100",3:14,100,-2,D Major,10B,Yes,83,54,67,90,6,0,6,3
Love Never Felt So Good,Michael Jackson & Justin Timberlake,48td6xvpokdYwvbl3JIiXP,2014-05-09,[],"Length: 4:06  Tempo: 118 bpm  Loudness: -6 db 
Key: G Minor Camelot: 6A Explicit: Yes
Popularity: 76/100

Happiness: 71/100

Danceability: 78/100

Energy: 72/100

Acousticness: 13/100

Instrumentalness: 0/100

Liveness: 7/100

Speechiness: 4/100",4:06,118,-6,G Minor,6A,Yes,76,71,78,72,13,0,7,4
Thinking Out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f,2014-06-21,['soft pop'],"Length: 4:41  Tempo: 79 bpm  Loudness: -6 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 84/100

Happiness: 59/100

Danceability: 78/100

Energy: 45/100

Acousticness: 47/100

Instrumentalness: 0/100

Liveness: 18/100

Speechiness: 3/100",4:41,79,-6,D Major,10B,Yes,84,59,78,45,47,0,18,3
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,78TTtXnFQPzwqlbtbwqN0y,2015-01-24,[],"Length: 3:08  Tempo: 206 bpm  Loudness: -6 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 80/100

Happiness: 35/100

Danceability: 58/100

Energy: 27/100

Acousticness: 88/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 5/100",3:08,206,-6,D Major,10B,Yes,80,35,58,27,88,0,13,5
Like I'm Gonna Lose You,Meghan Trainor,2YlZnw2ikdb837oKMKjBkW,2015-01-12,[],"Length: 3:45  Tempo: 108 bpm  Loudness: -7 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 77/100

Happiness: 42/100

Danceability: 63/100

Energy: 53/100

Acousticness: 40/100

Instrumentalness: 0/100

Liveness: 18/100

Speechiness: 4/100",3:45,108,-7,C Major,8B,Yes,77,42,63,53,40,0,18,4
Ayo,Chris Brown & Tyga,0k6DnZMLoEUH8NGD5zh2SE,2015-02-24,['r&b'],"Length: 3:45  Tempo: 98 bpm  Loudness: -5 db 
Key: F#/G♭ Major Camelot: 2B Explicit: Yes
Popularity: 78/100

Happiness: 68/100

Danceability: 82/100

Energy: 56/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 4/100",3:45,98,-5,F#/G♭ Major,2B,Yes,78,68,82,56,4,0,9,4
I Took a Pill in Ibiza,Mike Posner,0vbtURX4qv1l7besfwmnD8,2016-05-06,[],"Length: 4:40  Tempo: 74 bpm  Loudness: -10 db 
Key: A#/B♭ Major Camelot: 6B Explicit: Yes
Popularity: 48/100

Happiness: 38/100

Danceability: 64/100

Energy: 32/100

Acousticness: 62/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 7/100",4:40,74,-10,A#/B♭ Major,6B,Yes,48,38,64,32,62,0,13,7
Hands to Myself,Selena Gomez,3CJvmtWw2bJsudbAC5uCQk,2015-10-09,['pop'],"Length: 3:20  Tempo: 111 bpm  Loudness: -7 db 
Key: F Minor Camelot: 4A Explicit: Yes
Popularity: 67/100

Happiness: 47/100

Danceability: 81/100

Energy: 50/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 34/100

Speechiness: 12/100",3:20,111,-7,F Minor,4A,Yes,67,47,81,50,1,0,34,12
