rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,rdsg_genres,genre_chosic,is_pop,Audio Feature,Length,Tempo,Loudness,Key,Camelot,Explicit,Popularity,Happiness,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
Somebody That I Used to Know,Gotye,1qDrWA6lyx8cLECdZE7TV7,2011-01-01,[],pop,TRUE,"Length: 4:04  Tempo: 129 bpm  Loudness: -7 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 80/100

Happiness: 72/100

Danceability: 86/100

Energy: 50/100

Acousticness: 59/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 4/100",4:04,129,-7,C Major,8B,Yes,80,72,86,50,59,0,10,4
Some Nights,Fun,67WTwafOMgegV6ABnBQxcE,2012-02-14,[],others,FALSE,"Length: 4:37  Tempo: 108 bpm  Loudness: -7 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 73/100

Happiness: 39/100

Danceability: 67/100

Energy: 74/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 5/100",4:37,108,-7,C Major,8B,Yes,73,39,67,74,2,0,9,5
Titanium,David Guetta,2i1AVZAYLhrQTvzr1hu7Jt,2012-09-10,"['edm', 'dance']",pop,TRUE,"Length: 4:05  Tempo: 126 bpm  Loudness: -4 db 
Key: C Minor Camelot: 5A Explicit: Yes
Popularity: 75/100

Happiness: 30/100

Danceability: 60/100

Energy: 79/100

Acousticness: 7/100

Instrumentalness: 15/100

Liveness: 13/100

Speechiness: 10/100",4:05,126,-4,C Minor,5A,Yes,75,30,60,79,7,15,13,10
"Young, Wild & Free",Snoop Dogg,3FNy4yzOhHhFBeA5p4ofoq,2011-10-21,"['g-funk', 'west coast hip hop', 'gangster rap', 'hip hop', 'rap']","hiphop, pop, rap",TRUE,"Length: 3:27  Tempo: 95 bpm  Loudness: -6 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 79/100

Happiness: 53/100

Danceability: 72/100

Energy: 66/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 14/100",3:27,95,-6,C Major,8B,Yes,79,53,72,66,5,0,12,14
As Long as You Love Me,Justin Bieber,75lo8VozcCLRG9WGG674iD,2012-01-01,[],"pop, r&b, rap, hiphop",TRUE,"Length: 3:49  Tempo: 140 bpm  Loudness: -3 db 
Key: C Minor Camelot: 5A Explicit: Yes
Popularity: 70/100

Happiness: 61/100

Danceability: 57/100

Energy: 87/100

Acousticness: 8/100

Instrumentalness: 0/100

Liveness: 36/100

Speechiness: 10/100",3:49,140,-3,C Minor,5A,Yes,70,61,57,87,8,0,36,10
Turn Me On,David Guetta,6T27IN7Ai94BeDv6PPCmoC,2012-12-07,"['edm', 'dance']","pop, rap, hiphop",TRUE,"Length: 3:19  Tempo: 128 bpm  Loudness: -2 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 68/100

Happiness: 41/100

Danceability: 71/100

Energy: 79/100

Acousticness: 5/100

Instrumentalness: 0/100

Liveness: 57/100

Speechiness: 6/100",3:19,128,-2,G#/A♭ Major,4B,Yes,68,41,71,79,5,0,57,6
Moves like Jagger,Maroon 5,3TahdwXB4gJRWVAI00Ejqa,2010,['pop'],pop,TRUE,"Length: 3:21  Tempo: 128 bpm  Loudness: -4 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 77/100

Happiness: 62/100

Danceability: 72/100

Energy: 76/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 31/100

Speechiness: 5/100",3:21,128,-4,B Minor,10A,Yes,77,62,72,76,1,0,31,5
Niggas in Paris,Jay-Z,1auxYwYrFRqZP7t3s7w4um,2011-08-08,"['hip hop', 'east coast hip hop', 'rap']","hiphop, rap, pop",TRUE,"Length: 3:39  Tempo: 140 bpm  Loudness: -6 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 84/100

Happiness: 78/100

Danceability: 79/100

Energy: 86/100

Acousticness: 13/100

Instrumentalness: 0/100

Liveness: 35/100

Speechiness: 31/100",3:39,140,-6,C♯/D♭ Major,3B,Yes,84,78,79,86,13,0,35,31
Without You,David Guetta,7yoGqWuysO51L9h1fb4vgc,2012-09-10,"['edm', 'dance']","pop, r&b, hiphop",TRUE,"Length: 3:28  Tempo: 128 bpm  Loudness: -4 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 72/100

Happiness: 40/100

Danceability: 61/100

Energy: 61/100

Acousticness: 23/100

Instrumentalness: 0/100

Liveness: 16/100

Speechiness: 3/100",3:28,128,-4,D Major,10B,Yes,72,40,61,61,23,0,16,3
No Lie,2 Chainz,4Ox97hNeJSWFCZ8vp76vog,2012-01-01,"['southern hip hop', 'rap']","pop, hiphop, rap",TRUE,"Length: 3:57  Tempo: 131 bpm  Loudness: -6 db 
Key: F#/G♭ Minor Camelot: 11A Explicit: Yes
Popularity: 64/100

Happiness: 61/100

Danceability: 63/100

Energy: 67/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 37/100

Speechiness: 18/100",3:57,131,-6,F#/G♭ Minor,11A,Yes,64,61,63,67,2,0,37,18
Pontoon,Little Big Town,0Bmpxve7bWl2iQtVwwbHJP,2025-05-09,['country'],country,FALSE,"Length: 3:32  Tempo: 96 bpm  Loudness: -6 db 
Key: A Major Camelot: 11B Explicit: Yes
Popularity: 69/100

Happiness: 87/100

Danceability: 72/100

Energy: 82/100

Acousticness: 41/100

Instrumentalness: 0/100

Liveness: 20/100

Speechiness: 3/100",3:32,96,-6,A Major,11B,Yes,69,87,72,82,41,0,20,3
Drank in My Cup,Kirko Bangz,4sbKiIjBRVPNz4hejPUqLi,2019-04-19,[],"rap, hiphop",FALSE,"Length: 3:52  Tempo: 133 bpm  Loudness: -8 db 
Key: G#/A♭ Minor Camelot: 1A Explicit: Yes
Popularity: 69/100

Happiness: 23/100

Danceability: 45/100

Energy: 63/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 20/100

Speechiness: 30/100",3:52,133,-8,G#/A♭ Minor,1A,Yes,69,23,45,63,1,0,20,30
Red Solo Cup,Toby Keith,4YKAOXyqkKZ5gOZR0AmVMN,2011-10-21,['country'],country,FALSE,"Length: 3:43  Tempo: 164 bpm  Loudness: -7 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 73/100

Happiness: 79/100

Danceability: 54/100

Energy: 56/100

Acousticness: 29/100

Instrumentalness: 0/100

Liveness: 21/100

Speechiness: 9/100",3:43,164,-7,E Major,12B,Yes,73,79,54,56,29,0,21,9
Take a Little Ride,Jason Aldean,1KZ13No14RifaK2e9ii8da,2012-10-16,"['country', 'acoustic country']","rock, country",FALSE,"Length: 3:07  Tempo: 164 bpm  Loudness: -4 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 63/100

Happiness: 77/100

Danceability: 47/100

Energy: 87/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 21/100

Speechiness: 4/100",3:07,164,-4,D Major,10B,Yes,63,77,47,87,4,0,21,4
