label,rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,af_tempo,af_key_char,af_mode_char,af_key_num,af_mode_num,af_loudness,af_danceability,af_energy,af_acousticness,af_instrumentalness,af_liveness,af_speechiness,draft99_lyric
draft1_kaggle,Call Me Maybe,Carly Rae Jepsen,20I6sIOMTCkB6w7ryavxtO,2012-01-01,120,G,Major,7,1,-7,0.78,0.58,0.01,0.0,0.11,0.04,"i threw a wish in the well
dont ask me ill never tell
i looked to you as it fell
and now youre in my way
i trade my soul for a wish
pennies and dimes for a kiss
i wasnt lookin for this
but now youre in my way
your stare was holdin
ripped jeans skin was showin
hot night wind was blowin
where you think youre goin baby
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
and all the other boys try to chase me
but heres my number so call me maybe
you took your time with the call
i took no time with the fall
you gave me nothin at all
but still youre in my way
i beg and borrow and steal
at first sight and its real
i didnt know i would feel it
but its in my way
your stare was holdin
ripped jeans skin was showin
hot night wind was blowin
where you think youre goin baby
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
and all the other boys try to chase me
but heres my number so call me maybe
before you came into my life i missed you so bad
i missed you so bad i missed you so so bad
before you came into my life i missed you so bad
and you should know that i missed you so so bad
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
before you came into my life i missed you so bad
i missed you so bad i missed you so so bad
before you came into my life i missed you so bad
and you should know that so call me maybe"
draft1_kaggle,Call Me Maybe,Carly Rae Jepsen,20I6sIOMTCkB6w7ryavxtO,2012-01-01,120,G,Major,7,1,-6,0.77,0.6,0.01,0.0,0.11,0.04,"i threw a wish in the well
dont ask me ill never tell
i looked to you as it fell
and now youre in my way
i trade my soul for a wish
pennies and dimes for a kiss
i wasnt lookin for this
but now youre in my way
your stare was holdin
ripped jeans skin was showin
hot night wind was blowin
where you think youre goin baby
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
and all the other boys try to chase me
but heres my number so call me maybe
you took your time with the call
i took no time with the fall
you gave me nothin at all
but still youre in my way
i beg and borrow and steal
at first sight and its real
i didnt know i would feel it
but its in my way
your stare was holdin
ripped jeans skin was showin
hot night wind was blowin
where you think youre goin baby
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
and all the other boys try to chase me
but heres my number so call me maybe
before you came into my life i missed you so bad
i missed you so bad i missed you so so bad
before you came into my life i missed you so bad
and you should know that i missed you so so bad
its hard to look right at you baby
but heres my number so call me maybe
hey i just met you and this is crazy
but heres my number so call me maybe
its hard to look right at you baby
but heres my number so call me maybe
before you came into my life i missed you so bad
i missed you so bad i missed you so so bad
before you came into my life i missed you so bad
and you should know that so call me maybe"
draft1_kaggle,Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A,2012-01-01,110,E,Major,4,1,-5,0.74,0.76,0.01,0.0,0.37,0.04,"im at a payphone tryin to call home
all of my change i spent on you
where have the times gone baby its all wrong
where are the plans we made for two
yeah i i know its hard to remember
the people we used to be
its even harder to picture
that youre not here next to me
you say its too late to make it
but is it too late to try
and in our time that you wasted
all of our bridges burned down
ive wasted my nights
you turned out the lights
now im paralyzed
still stuck in that time
when we called it love
but even the sun sets in paradise
im at a payphone tryin to call home
all of my change i spent on you
where have the times gone baby its all wrong
where are the plans we made for two
if happyeverafters did exist
i would still be holdin you like this
all those fairytales are full of shit
one more fuckin love song ill be sick oh
you turned your back on tomorrow
cause you forgot yesterday
i gave you my love to borrow
but you just gave it away
you cant expect me to be fine oh
i dont expect you to care yeah
i know i said it before but
all of our bridges burned down
ive wasted my nights
you turned out the lights
now im paralyzed oh
still stuck in that time
when we called it love
but even the sun sets in paradise
im at a payphone tryin to call home
all of my change i spent on you oh oh
where have the times gone baby its all wrong
where are the plans we made for two yeah
if happyeverafters did exist
i would still be holdin you like this
and all those fairytales are full of shit
one more fuckin love song ill be sick uh
now im at a payphone
man fuck that shit
i be out spendin all this money while you sittin round
wonderin why it wasnt you who came up from nothin
made it from the bottom now when you see me im stuntin
and all of my cars start with the push of a button
tellin me i changed since i blew up or whatever you call it
switched the number to my phone so you never could call it
dont need my name on my shirt you can tell that im ballin
swish what a shame coulda got picked
had a really good game but you missed your last shot
so you talk about who you see at the top
or what you coulda saw but sad to say its over for
phantom pulled up valet open doors
wished id go away got what you was looking for
now its me who they want
so you can go and take that little piece of shit with you
yeah im at a payphone tryin to call home
all of my change i spent on you woo
where have the times gone baby its all wrong yeah
where are the plans we made for two ooh ooh ooh
if happyeverafters did exist oh then
i would still be holdin you like this
and all these fairytales are full of shit yeah
one more fuckin love song ill be sick
yeah now im at a payphone"
draft1_kaggle,Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A,2012-01-01,110,E,Major,4,1,-5,0.74,0.75,0.02,0.0,0.29,0.04,"im at a payphone tryin to call home
all of my change i spent on you
where have the times gone baby its all wrong
where are the plans we made for two
yeah i i know its hard to remember
the people we used to be
its even harder to picture
that youre not here next to me
you say its too late to make it
but is it too late to try
and in our time that you wasted
all of our bridges burned down
ive wasted my nights
you turned out the lights
now im paralyzed
still stuck in that time
when we called it love
but even the sun sets in paradise
im at a payphone tryin to call home
all of my change i spent on you
where have the times gone baby its all wrong
where are the plans we made for two
if happyeverafters did exist
i would still be holdin you like this
all those fairytales are full of shit
one more fuckin love song ill be sick oh
you turned your back on tomorrow
cause you forgot yesterday
i gave you my love to borrow
but you just gave it away
you cant expect me to be fine oh
i dont expect you to care yeah
i know i said it before but
all of our bridges burned down
ive wasted my nights
you turned out the lights
now im paralyzed oh
still stuck in that time
when we called it love
but even the sun sets in paradise
im at a payphone tryin to call home
all of my change i spent on you oh oh
where have the times gone baby its all wrong
where are the plans we made for two yeah
if happyeverafters did exist
i would still be holdin you like this
and all those fairytales are full of shit
one more fuckin love song ill be sick uh
now im at a payphone
man fuck that shit
i be out spendin all this money while you sittin round
wonderin why it wasnt you who came up from nothin
made it from the bottom now when you see me im stuntin
and all of my cars start with the push of a button
tellin me i changed since i blew up or whatever you call it
switched the number to my phone so you never could call it
dont need my name on my shirt you can tell that im ballin
swish what a shame coulda got picked
had a really good game but you missed your last shot
so you talk about who you see at the top
or what you coulda saw but sad to say its over for
phantom pulled up valet open doors
wished id go away got what you was looking for
now its me who they want
so you can go and take that little piece of shit with you
yeah im at a payphone tryin to call home
all of my change i spent on you woo
where have the times gone baby its all wrong yeah
where are the plans we made for two ooh ooh ooh
if happyeverafters did exist oh then
i would still be holdin you like this
and all these fairytales are full of shit yeah
one more fuckin love song ill be sick
yeah now im at a payphone"
draft1_kaggle,Starships,Nicki Minaj,2EBCVPNAG46nbgs6jXPGvv,2012-01-01,125,B,Minor,11,0,-2,0.75,0.72,0.14,0.0,0.25,0.08,"redone
uh
lets go to the beacheach lets go get away
they say what they gonna say
have a drink clink found the bud light
bad bitches like me is hard to come by
the patrón own lets go get it on
the zone on yes im in the zone
is it two three leave a good tip
ima blow off my money and dont give two shits ohoh
im on the floor floor i love to dance
so give me more more til i cant stand
get on the floor floor like its your last chance
if you want more more then here i am
starships were meant to fly
hands up and touch the sky ohohohoh
cant stop cause were so high
lets do this one more time ohohohoh
starships were meant to fly
hands up and touch the sky ohohohoh
lets do this one last time
cant stop
were higher than a motherfucka
were higher than a motherfucka
were higher than a motherfucka
jump in my hooptyhooptyhoop i own that
and i aint payin my rent this month i owe that
but fuck who you want and fuck who you like
dancehall life theres no end in sight
twinkle twinkle little star
now everybody let me hear you say ray ray ray
now spend all your money cause today payday
and if you a g you a ggg
my name is onika you can call me nicki woo
get on the floor floor like its your last chance
if you want more more then here i am
starships were meant to fly
hands up and touch the sky ohohohoh
cant stop cause were so high
lets do this one more time ohohohoh
starships were meant to fly
hands up and touch the sky ohohohoh
lets do this one last time
cant stop
were higher than a motherfucka
were higher than a motherfucka
were higher than a motherfucka
starships were meant to fly
hands up and touch the sky
cant stop cause were so high
lets do this one more time ohohohoh
starships were meant to fly
hands up and touch the sky ohohohoh
lets do this one last time
cant stop
were higher than a motherfucka
were higher than a motherfucka
were higher than a motherfucka"
draft1_kaggle,What Makes You Beautiful,One Direction,4cluDES4hQEUhmXj6TXkSo,2012-05-25,125,E,Major,4,1,-2,0.73,0.79,0.01,0.0,0.06,0.07,"youre insecure dont know what for
youre turnin heads when you walk through the door
dont need makeup to cover up huh
bein the way that you are is enough
everyone else in the room can see it
everyone else but you
baby you light up my world like nobody else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful
if only you saw what i can see
youll understand why i want you so desperately
right now im looking at you and i cant believe
you dont know ohoh you dont know youre beautiful ohoh
thats what makes you beautiful
so ccome on you got it wrong
to prove im right i put it in a song
i dont know why youre being shy
and turn away when i look into your eyes
everyone else in the room can see it
everyone else but you
baby you light up my world like nobody else body else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful oh
if only you saw what i can see
youll understand why i want you so desperately
right now im looking at you and i cant believe
you dont know ohoh you dont know youre beautiful ohoh
thats what makes you beautiful
na nanana nanana na na
na nanana nana
na nanana nanana na na
na nanana nana
baby you light up my world like nobody else
the way that you flip your hair gets me overwhelmed
but when you smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful
baby you light up my world like nobody else light up my world like nobody else
the way that you flip your hair cmon gets me overwhelmed
but when you smile at the ground smile at the ground it aint hard to tell
you dont know ohoh you dont know youre beautiful oh woah
if only you saw what i can see
youll understand why i want you so desperately desperately
right now im looking at you and i cant believe
you dont know dont know ohoh you dont know youre beautiful ohoh
you dont know youre beautiful ohoh
thats what makes you beautiful"
draft1_kaggle,Wide Awake,Katy Perry,1rUQmXEy41tXwHIKFECNTa,2012-01-01,160,F,Major,5,1,-5,0.51,0.68,0.07,0.0,0.39,0.04,"im wide awake
im wide awake
im wide awake
yeah i was in the dark
i was falling hard with an open heart
im wide awake
how did i read the stars so wrong
im wide awake
and now its clear to me
that everything you see aint always what it seems
im wide awake
yeah i was dreaming for so long
i wish i knew then what i know now
wouldnt dive in wouldnt bow down
gravity hurts you made it so sweet
til i woke up on on the concrete
fallin from cloud nine
crashin from the high
im letting go tonight
yeah im fallin from cloud nine
im wide awake
not losing any sleep
i picked up every piece and landed on my feet
im wide awake
need nothing to complete myself no
im wide awake
yeah i am born again
out of the lions den i dont have to pretend
and its too late
the storys over now the end
i wish i knew then what i know now
wouldnt dive in wouldnt bow down
gravity hurts you made it so sweet
til i woke up on on the concrete
fallin from cloud nine it was outta the blue im
crashin from the high
im letting go tonight yeah im letting you go im
im fallin from cloud nine
im wide awake
thunder rumbling
castles crumbling im wide awake
i am tryin to hold on
im wide awake
god knows that i tried
seeing the bright side im wide awake
but im not blind anymore
im wide awake
im wide awake
yeah im fallin from cloud nine it was outta the blue im
crashin from the high
you know im letting go tonight yeah im letting you go im
im fallin from cloud nine
im wide awake
im wide awake
im wide awake
im wide awake
im wide awake"
draft1_kaggle,One More Night,Maroon 5,6cpk00i5TxCqSeqNi2HuIe,2012-01-01,93,F,Minor,5,0,-3,0.72,0.82,0.04,0.0,0.08,0.03,"ooh oohoohooh oohooh oohooh
ooh oohoohooh oohooh oohooh
you and i go hard at each other like were going to war
you and i go rough we keep throwing things and slamming the doors
you and i get so damn dysfunctional we stopped keeping score
you and i get sick yeah i know that we cant do this no more
yeah but baby there you go again there you go again
making me love you
yeah i stopped using my head using my head
let it all go
got you stuck on my body on my body like a tattoo
and now im feeling stupid feeling stupid crawling back to you
so i cross my heart and i hope to die
that ill only stay with you one more night
and i know ive said it a million times
but ill only stay with you one more night
try to tell you no but my body keeps on telling you yes
try to tell you stop but your lipstick got me so out of breath
ill be waking up in the morning probably hating myself
and ill be waking up feeling satisfied but guilty as hell
yeah but baby there you go again there you go again
making me love you making me love you
yeah i stopped using my head using my head
let it all go let it all go
got you stuck on my body on my body like a tattoo like a tattoo yeah
and now im feeling stupid feeling stupid crawling back to you
so i cross my heart and i hope to die yeah
that ill only stay with you one more night oh
and i know ive said it a million times yeah
but ill only stay with you one more night yeah
ooh oohoohooh oohooh oohooh
yeah baby give me one more night
ooh oohoohooh oohooh oohooh
yeah baby give me one more night woah yeah
ooh oohoohooh oohooh oohooh
yeah baby give me one more night
ooh oohoohooh oohooh oohooh
oh yeah yeah
but baby there you go again there you go again
making me love you
yeah i stopped using my head using my head
let it all go
got you stuck on my body on my body like a tattoo yeah yeah
yeah yeah
so i cross my heart and i hope to die ohohohoh ohohohoh
that ill only stay with you one more night ohohohohohoh
and i know ive said it a million times
oh ive said it a million times
but ill only stay with you one more night
yeah baby give me one more night
so i cross my heart and i hope to die yeah yeah
that ill only stay with you one more night yeah yeah
and i know ive said it a million times yeah yeah
but ill only stay with you one more night yeah yeah
i dunno
whatever whatever"
draft1_kaggle,One More Night,Maroon 5,6cpk00i5TxCqSeqNi2HuIe,2012-01-01,93,F,Minor,5,0,-3,0.72,0.82,0.06,0.0,0.08,0.03,"ooh oohoohooh oohooh oohooh
ooh oohoohooh oohooh oohooh
you and i go hard at each other like were going to war
you and i go rough we keep throwing things and slamming the doors
you and i get so damn dysfunctional we stopped keeping score
you and i get sick yeah i know that we cant do this no more
yeah but baby there you go again there you go again
making me love you
yeah i stopped using my head using my head
let it all go
got you stuck on my body on my body like a tattoo
and now im feeling stupid feeling stupid crawling back to you
so i cross my heart and i hope to die
that ill only stay with you one more night
and i know ive said it a million times
but ill only stay with you one more night
try to tell you no but my body keeps on telling you yes
try to tell you stop but your lipstick got me so out of breath
ill be waking up in the morning probably hating myself
and ill be waking up feeling satisfied but guilty as hell
yeah but baby there you go again there you go again
making me love you making me love you
yeah i stopped using my head using my head
let it all go let it all go
got you stuck on my body on my body like a tattoo like a tattoo yeah
and now im feeling stupid feeling stupid crawling back to you
so i cross my heart and i hope to die yeah
that ill only stay with you one more night oh
and i know ive said it a million times yeah
but ill only stay with you one more night yeah
ooh oohoohooh oohooh oohooh
yeah baby give me one more night
ooh oohoohooh oohooh oohooh
yeah baby give me one more night woah yeah
ooh oohoohooh oohooh oohooh
yeah baby give me one more night
ooh oohoohooh oohooh oohooh
oh yeah yeah
but baby there you go again there you go again
making me love you
yeah i stopped using my head using my head
let it all go
got you stuck on my body on my body like a tattoo yeah yeah
yeah yeah
so i cross my heart and i hope to die ohohohoh ohohohoh
that ill only stay with you one more night ohohohohohoh
and i know ive said it a million times
oh ive said it a million times
but ill only stay with you one more night
yeah baby give me one more night
so i cross my heart and i hope to die yeah yeah
that ill only stay with you one more night yeah yeah
and i know ive said it a million times yeah yeah
but ill only stay with you one more night yeah yeah
i dunno
whatever whatever"
draft1_kaggle,Drive By,Train,0KAiuUOrLTIkzkpfpn9jb9,2012-04-17,122,C♯/D♭,Minor,1,0,-3,0.77,0.84,0.0,0.0,0.08,0.03,"on the other side of a street i knew
stood a girl that looked like you
i guess thats déjà vu
but i thought this cant be true
cause you moved to west la or new york or santa fe
or wherever to get away from me
oh but that one night
was more than just right
i didnt leave you cause i was all through
oh i was overwhelmed and frankly scared as hell
because i really fell for you
oh i swear to you
ill be there for you
this is not a drive by
just a shy guy looking for a twoply
hefty bag to hold my love
when you move me everything is groovy
they dont like it sue me
mmm the way you do me
oh i swear to you
ill be there for you
this is not a drive by
on the upside of a downward spiral
my love for you went viral
and i loved you every mile you drove away
but now here you are again
so lets skip the how you been
and get down to the more than friends at last
oh but that one night
is still the highlight
i didnt need you until i came to
and i was overwhelmed and frankly scared as hell
because i really fell for you
oh i swear to you
ill be there for you
this is not a drive by
just a shy guy looking for a twoply
hefty bag to hold my love
when you move me everything is groovy
they dont like it sue me
mmm the way you do me
oh i swear to you
ill be there for you
this is not a drive by
please believe
that when i leave
theres nothing up my sleeve but love for you
and a little time to get my head together too
on the other side of a street i knew
stood a girl that looked like you
i guess thats déjà vu
but i thought this cant be true
cause
oh i swear to you
ill be there for you
this is not a drive by
just a shy guy looking for a twoply
hefty bag to hold my love
when you move me everything is groovy
they dont like it sue me
mmm the way you do me
oh i swear to you
ill be there for you
this is not a drive by"
