,name,artist
0,Somebody That I Used to Know,Gotye
1,Call Me Maybe,Carly Rae Jepsen
2,We Are Young,Fun
3,Payphone,Maroon 5
4,Lights,Ellie Goulding
5,Glad You Came,The Wanted
6,Stronger (What Doesn't Kill You),Kelly Clarkson
7,We Found Love,Rihanna
8,Starships,Nicki Minaj
9,What Makes You Beautiful,One Direction
10,Wild Ones,Flo Rida
11,Set Fire to the Rain,Adele
12,Sexy and I Know It,LMFAO
13,Some Nights,Fun
14,Wide Awake,Katy Perry
15,Good Feeling,Flo Rida
16,Whistle,Flo Rida
17,One More Night,Maroon 5
18,Drive By,Train
19,The Motto,Drake
20,Where Have You Been,Rihanna
21,Everybody Talks,Neon Trees
22,Take Care,Drake
23,Titanium,David Guetta
24,I Won't Give Up,Jason Mraz
25,It Will Rain,Bruno Mars
26,Mercy,Kanye West
27,Boyfriend,Justin Bieber
28,Party Rock Anthem,LMFAO
29,Too Close,Alex Clare
30,Part of Me,Katy Perry
31,"Young, Wild & Free",Snoop Dogg
32,We Are Never Ever Getting Back Together,Taylor Swift
33,As Long as You Love Me,Justin Bieber
34,Turn Me On,David Guetta
35,Moves like Jagger,Maroon 5
36,Blow Me (One Last Kiss),Pink
37,Good Time,Owl City
38,Give Your Heart a Break,Demi Lovato
39,Niggas in Paris,Jay-Z
40,The One That Got Away,Katy Perry
41,Feel So Close,Calvin Harris
42,Someone like You,Adele
43,Scream,Usher
44,Rack City,Tyga
45,Domino,Jessie J
46,Gangnam Style,Psy
47,International Love,Pitbull
48,Home,Phillip Phillips
49,Without You,David Guetta
50,Ass Back Home,Gym Class Heroes
51,Wanted,Hunter Hayes
52,Drunk on You,Luke Bryan
53,No Lie,2 Chainz
54,Want U Back,Cher Lloyd
55,Don't Wake Me Up,Chris Brown
56,Dance (A$$),Big Sean
57,Springsteen,Eric Church
58,Brokenhearted,Karmin
59,Not Over You,Gavin DeGraw
60,Stereo Hearts,Gym Class Heroes
61,Back in Time,Pitbull
62,Work Out,J. Cole
63,Rumour Has It,Adele
64,Let's Go,Calvin Harris
65,Good Girl,Carrie Underwood
66,Pontoon,Little Big Town
67,Ho Hey,The Lumineers
68,Paradise,Coldplay
69,Blown Away,Carrie Underwood
70,Rolling in the Deep,Adele
71,Climax,Usher
72,"Work Hard, Play Hard",Wiz Khalifa
73,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo
74,Pound the Alarm,Nicki Minaj
75,Come Over,Kenny Chesney
76,Heart Attack,Trey Songz
77,Drank in My Cup,Kirko Bangz
78,Birthday Cake,Rihanna
79,So Good,B.o.B
80,50 Ways to Say Goodbye,Train
81,Red Solo Cup,Toby Keith
82,Love You Like a Love Song,Selena Gomez & the Scene
83,Turn Up the Music,Chris Brown
84,Die Young,Kesha
85,5 O'Clock,T-Pain
86,A Thousand Years,Christina Perri
87,Take a Little Ride,Jason Aldean
88,You da One,Rihanna
89,We Run the Night,Havana Brown
90,It's Time,Imagine Dragons
91,Cashin' Out,Cash Out
92,I Don't Want This Night to End,Luke Bryan
93,Diamonds,Rihanna
94,Hard to Love,Lee Brice
95,Somethin' 'Bout a Truck,Kip Moore
96,Adorn,Miguel
97,Fly Over States,Jason Aldean
98,Even If It Breaks Your Heart,Eli Young Band
99,Burn It Down,Linkin Park
100,Thrift Shop,Macklemore & Ryan Lewis
101,Blurred Lines,Robin Thicke
102,Radioactive,Imagine Dragons
103,Harlem Shake,Baauer
104,Can't Hold Us,Macklemore & Ryan Lewis
105,Mirrors,Justin Timberlake
106,Just Give Me a Reason,Pink
107,When I Was Your Man,Bruno Mars
108,Cruise,Florida Georgia Line
109,Roar,Katy Perry
110,Locked Out of Heaven,Bruno Mars
111,Ho Hey,The Lumineers
112,Stay,Rihanna
113,Get Lucky,Daft Punk
114,Royals,Lorde
115,I Knew You Were Trouble,Taylor Swift
116,We Can't Stop,Miley Cyrus
117,Wrecking Ball,Miley Cyrus
118,Wake Me Up,Avicii
119,Suit & Tie,Justin Timberlake
120,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
121,Holy Grail,Jay-Z
122,Scream & Shout,will.i.am
123,Clarity,Zedd
124,Sail,Awolnation
125,Don't You Worry Child,Swedish House Mafia
126,Diamonds,Rihanna
127,I Love It,Icona Pop
128,Safe and Sound,Capital Cities
129,Treasure,Bruno Mars
130,The Way,Ariana Grande
131,Started from the Bottom,Drake
132,Come & Get It,Selena Gomez
133,"Hold On, We're Going Home",Drake
134,Daylight,Maroon 5
135,Feel This Moment,Pitbull
136,Applause,Lady Gaga
137,One More Night,Maroon 5
